bedrijf,slug,url,voornaam,bevindingen,met_citaat,koopmoment
10DAYS,10days,https://www.intro-pique.agency/bcs4/10days,Barbara,2,1,"Er komt een merk, land of kanaal bij"
ANNA plus NINA,anna-plus-nina,https://www.intro-pique.agency/bcs4/anna-plus-nina,Anna,2,1,De bereikbaarheid is smaller dan wat de klant verwacht
Aaiko,aaiko,https://www.intro-pique.agency/bcs4/aaiko,Pauline,3,1,"Er komt een merk, land of kanaal bij"
Beaumont Amsterdam,beaumont-amsterdam,https://www.intro-pique.agency/bcs4/beaumont-amsterdam,,2,0,De bereikbaarheid is smaller dan wat de klant verwacht
Bedrukken nl,bedrukken-nl,https://www.intro-pique.agency/bcs4/bedrukken-nl,,1,1,De bereikbaarheid is smaller dan wat de klant verwacht
Blackstone Shoes,blackstone-shoes,https://www.intro-pique.agency/bcs4/blackstone-shoes,Arjan,1,0,De bereikbaarheid is smaller dan wat de klant verwacht
Blond Amsterdam,blond-amsterdam,https://www.intro-pique.agency/bcs4/blond-amsterdam,Femque,2,1,De bereikbaarheid is smaller dan wat de klant verwacht
Buddha to Buddha,buddha-to-buddha,https://www.intro-pique.agency/bcs4/buddha-to-buddha,Jacco,1,1,Het volume groeit sneller dan de bezetting
Butcher of Blue,butcher-of-blue,https://www.intro-pique.agency/bcs4/butcher-of-blue,Bob,2,0,"Er komt een merk, land of kanaal bij"
CLUSE,cluse,https://www.intro-pique.agency/bcs4/cluse,Rudyard,2,1,De bereikbaarheid is smaller dan wat de klant verwacht
CanvasCompany,canvascompany,https://www.intro-pique.agency/bcs4/canvascompany,Halbe,2,2,De bereikbaarheid is smaller dan wat de klant verwacht
Carnibest,carnibest,https://www.intro-pique.agency/bcs4/carnibest,,2,1,De bereikbaarheid is smaller dan wat de klant verwacht
Casimoda,casimoda,https://www.intro-pique.agency/bcs4/casimoda,,2,1,De bereikbaarheid is smaller dan wat de klant verwacht
Catwalk Junkie,catwalk-junkie,https://www.intro-pique.agency/bcs4/catwalk-junkie,Ben,2,2,"Er komt een merk, land of kanaal bij"
Circle of Trust,circle-of-trust,https://www.intro-pique.agency/bcs4/circle-of-trust,Danny,2,1,Het volume groeit sneller dan de bezetting
Colourful Rebel,colourful-rebel,https://www.intro-pique.agency/bcs4/colourful-rebel,Frank,1,1,"Er komt een merk, land of kanaal bij"
Confirm Clothing,confirm-clothing,https://www.intro-pique.agency/bcs4/confirm-clothing,,2,2,De bereikbaarheid is smaller dan wat de klant verwacht
Difrax,difrax,https://www.intro-pique.agency/bcs4/difrax,Corinne,1,1,De bereikbaarheid is smaller dan wat de klant verwacht
