bedrijf,domein,vertical,http,final_url,titel,platform,producten,cs_tools,review_tools,marketing,kanalen,talen,markten,vacature_cs,b2b_wholesale,notitie
Colourful Rebel,colourfulrebel.com,fashion-dames,200,https://colourfulrebel.com/,"Colourful Rebel | Voor 23:45 Besteld, Morgen Geleverd | Officiële Shop",shopify,799,,trustpilot|yotpo|googlereviews,klaviyo,formulier,de-de|en|en-ad|en-at|en-dk|en-es|en-fi|en-fr|en-gb|en-ie|en-it|en-lu|en-mc|en-pl|en-pt|en-se|en-us|nl|nl-ad|nl-at|nl-dk|,33,,ja,
Loavies,loavies.com,fashion-dames,200,https://www.loavies.com/nl/,LOAVIES | Shop Fashion Online,,,zendesk,trustpilot,gtm|meta-pixel,mail|chat,en|es|fr|nl,4,carriere-pagina,ja,
JOSH V,joshv.com,fashion-dames,403,https://joshv.com/,Just a moment...,,,,,,,,0,,,
NIKKIE,nikkie.com,fashion-dames,200,https://www.nikkie.com/nl/,Dameskleding &amp; Exclusieve Collecties - Officiële Shop | Nikkie,shopware,,,,,telefoon,de|en|nl,3,carriere-pagina,ja,
Aaiko,aaiko.com,fashion-dames,200,https://aaiko.com/,AAIKO,shopify,357,gorgias,,klaviyo,formulier|chat,en|en-ae|en-at|en-au|en-ca|en-ch|en-cz|en-dk|en-es|en-fi|en-fr|en-gb|en-hk|en-ie|en-il|en-it|en-jp|en-kr|en-my|en-no|en-,27,carriere-pagina,ja,
Circle of Trust,circleoftrust.nl,fashion-dames,200,https://www.circleoftrust.nl/,"Voor al je kleding, van jeans tot jurkjes | Circle Of Trust official webshop",magento,,,googlereviews,gtm|meta-pixel|tiktok-pixel,mail|formulier,,0,carriere-pagina,ja,
Catwalk Junkie,catwalkjunkie.com,fashion-dames,200,https://catwalkjunkie.com/,Catwalk Junkie | Where Carefree meets Funky.,shopify,613,,,klaviyo|gtm|shopify-plus-hint,mail|formulier,en|en-at|en-bg|en-cz|en-de|en-ee|en-es|en-fr|en-gr|en-hu|en-it|en-lt|en-lu|en-lv|en-pl|en-pt|en-si|en-sk|en-tr|en-ua|nl|,40,carriere-pagina,ja,
Studio Anneloes,studioanneloes.nl,fashion-dames,200,https://www.studioanneloes.nl/,Studio Anneloes | Stijlvol &amp; Comfortabel | Officiële Webshop,bigcommerce,,gorgias,trustedshops|googlereviews,klaviyo|gtm,telefoon|mail|formulier|chat,,0,carriere-pagina,,
Summum Woman,summumwoman.com,fashion-dames,200,https://summumwoman.com/,Summum - Officiële Webshop,shopify,654,gorgias,kiyoh|trustedshops,,mail|formulier|chat,de|en|fr|nl,4,carriere-pagina,ja,
Fifth House,fifthhouse.nl,fashion-dames,200,https://www.fifthhouse.nl/,FIFTH HOUSE · Officiële website,shopware,,,,,telefoon,de|en,2,carriere-pagina,,
Nukus,nukus.nl,fashion-dames,200,https://nukus.nl/,Shop de nieuwste collectie - NUKUS,shopify,217,,,,mail|formulier,,0,carriere-pagina,ja,
Lofty Manner,loftymanner.com,fashion-dames,200,https://www.loftymanner.com/,Lofty Manner® | Shop de nieuwe collectie | Sale tot 50%,shopify,440,gorgias|whatsapp-widget,,klaviyo,whatsapp|formulier|chat,en|fr|nl,3,carriere-pagina,ja,
Beaumont Amsterdam,beaumont.nl,fashion-dames,200,https://www.beaumontmaastricht.com/,Luxe Boutique Hotel Beaumont Maastricht | 4 Sterren Superior,shopify,,,,gtm,telefoon|mail,,0,,,
Vanilia,vanilia.com,fashion-dames,200,https://vanilia.com/,Vanilia.com | De officiële webshop,shopify,1,,trustedshops,klaviyo|gtm,telefoon|mail|formulier,de|de-de|en|en-ad|en-ae|en-an|en-at|en-au|en-be|en-bg|en-ca|en-ch|en-cn|en-cy|en-cz|en-de|en-dk|en-ee|en-es|en-fi|en-fr|,57,,ja,
King Louie,kinglouie.nl,fashion-dames,200,https://kinglouie.com/nl,"Kleurrijke dameskleding, met oog voor duurzaamheid &ndash; King Louie",shopify,923,,trustpilot|googlereviews,klaviyo|channable,mail,de|en|fr|nl,4,carriere-pagina,ja,
LaDress,ladress.com,fashion-dames,200,https://ladress.com/,LaDress,shopify,491,trengo,,klaviyo,telefoon|mail|formulier|chat,de|de-be|de-de|en|nl|nl-be,6,carriere-pagina,,
Zenggi,zenggi.com,fashion-dames,200,https://zenggi.com/,ZENGGI,shopify,487,,trustpilot,klaviyo,mail,de|en|es|fr|nl,5,carriere-pagina,ja,
