bedrijf,domein,openingstijden,reactiebelofte,retourkosten,retourtermijn,email,telefoon,whatsapp,avond_weekend,selfservice
Jane Lushka,janelushka.com,,,,,support@janelushka.com,,,,
Aaiko,aaiko.com,,,,,webshop@aaiko.com,,,,selfservice aanwezig
10DAYS,10days.nl,,binnen 48 uur,,,,+31 20 763 0150,,weekend genoemd,
Summum Woman,summumwoman.com,"maandag tot en met vrijdag, van 10:00 tot 18:00",,retourneren Veilig betalen Gratis,14 dagen eenvoudig retour,service@summumwoman.com,+31 85 107 08 76,,weekend genoemd,selfservice aanwezig
LaDress,ladress.com,,,,,info@ladress.com,+31 20 528 5028,ja,,selfservice aanwezig
Lekker Bikes,lekkerbikes.com,,within 24 hours,,,,+31 20 245 5460,,weekend genoemd,
Catwalk Junkie,catwalkjunkie.com,maandag t/m vrijdag tussen 9:00 en 18:00,binnen 24 uur,,30 dagen na de verzenddatum retour,catwalkjunkie@uspfashion.com,,,weekend genoemd,selfservice aanwezig
Poools,poools.nl,maandag tot en met vrijdag van 08.30 tot 17.00,binnen 7 dagen,"retourkosten bedraagt: - binnen Nederland € 5,00",14 dagen retour,info@sartofashion.nl,008434542,,,selfservice aanwezig
Violet Hamden,violethamden.com,,,,,,,,,
Colourful Rebel,colourfulrebel.com,,,,,,,,,
Poederbaas,poederbaas.com,,,,,info@poederbaas.com,0364361980,ja,,selfservice aanwezig
Cosmeau,cosmeau.com,Maandag – vrijdag 10:00 – 17:00,,,30 dagen retour,support@cosmeau.com,,,weekend genoemd,selfservice aanwezig
Zenggi,zenggi.com,,,,,customerservice@zenggi.com,,,,
Ballin Amsterdam,ballinamsterdam.com,,,,,,,,,
Isabel Bernard,isabelbernard.com,Maandag t/m vrijdag Zaterdag & zondag 09:00 - 12:00,binnen 5 werkdag,,30 dagen bedenktijd,info@isabelbernard.com,083652939,,weekend genoemd,
RainPharma,rainpharma.com,,binnen 3 werkdag,,,hello@rainpharma.com,,,,
Moodstreet,moodstreet.nl,maandag tot en met Donderdag tussen 09:00-16:00,Binnen 24 uur,retourproces voor onze rekening en sturen we de juiste maat gratis,14 dagen na je aanmelding van het retour,klantenservice@moodstreet.nl,+31851053549,,weekend genoemd,selfservice aanwezig
ANNA plus NINA,anna-nina.nl,,,,,webshop@anna-nina.nl,,,,
Ivy Beau,ivybeau.com,,,,,sales@bfashionbrands.nl,,,,selfservice aanwezig
Butcher of Blue,butcherofblue.com,,,,,info@butcherofblue.com,+31858771344,ja,,
Rosefield,rosefieldwatches.com,,,,,,,,,
Studio Ins en Outs,studioinsenouts.nl,,,,,info@studioinsenouts.nl,0610900254,,weekend genoemd,selfservice aanwezig
Raizzed,raizzed.com,maandag t/m donderdag 09.00 - 17.00,binnen 14 dagen,"Retourkosten per land Nederland € 2,99",14 dagen na ontvangst retour,support@raizzed.com,,,,selfservice aanwezig
Wolplein,wolplein.nl,,,"Retourbeleid Betalen Werken bij Aanmelden nieuwsbrief Nieuwe garens, gratis",binnen 14 dagen,klantenservice@wolplein.nl,0004372812,ja,weekend genoemd,
Sapph,sapph.com,,,,,,0 2010 2020,,,
Nialaya,nialaya.com,,,,,customerservice@nialaya.com,,,,
Trixie Baby,trixie-baby.com,,,,,hello@trixie-baby.com,0896347997,,weekend genoemd,selfservice aanwezig
Marcels Green Soap,marcelsgreensoap.com,,,,,info@marcelsgreensoap.com,,,,selfservice aanwezig
Malelions,malelions.com,,binnen 2 werkdag,Retourneren Verkooppunten SIGNUP / LOGIN 0 ITEMS IN JE WINKELWAGEN €75 meer voor gratis,30 dagen de tijd om de bestelling te retour,,,,,selfservice aanwezig
Quotrell,quotrell.com,,,,,Support@quotrell.com,+31 6 1895401,ja,,selfservice aanwezig
Loavies,loavies.com,,binnen 48 uur,,,,,,,
Carnibest,carnibest.nl,Maandag - donderdag 8:30 - 16:30,,,,store@nutriment.nl,,,,
Muchachomalo,muchachomalo.com,maandag t/m vrijdag 09:00 - 18.00,,retourbeleid Gratis,30 dagen retour,Info@muchachomalo.com,,,weekend genoemd,selfservice aanwezig
Xtorm,xtorm.eu,,within 48 hours,,,info@xtorm.eu,,,weekend genoemd,selfservice aanwezig
Shoesme,shoesme.nl,maandag t/m vrijdag Van 10.00 - 17.00,binnen 14 dagen,,14 dagen na levering retour,,,,weekend genoemd,selfservice aanwezig
Walra,walra.nl,maandag t/m donderdag van 8.30u tot 16.30,binnen 24 uur,retourneren Betaal gratis,30 dagen retour,info@walra.nl,040-3095506,ja,weekend genoemd,selfservice aanwezig
Seepje,seepje.com,,binnen 24 uur,,30 dagen retour,hoi@seepje.nl,085 060 5000,,weekend genoemd,selfservice aanwezig
Pieter Pot,pieter-pot.nl,,Binnen 12 uur,,,info@pieter-pot.nl,,,weekend genoemd,selfservice aanwezig
Eyelove Brillen,eyelovebrillen.nl,maandag tot en met vrijdag van 8.30 uur tot 18.00,,,,klantenservice@eyelovebrillen.nl,,ja,weekend genoemd,
Moscow Fashion,moscowfashion.nl,,,,,,,,,
