bedrijf,website,site_status,eind_url,teampagina,kandidaat_namen,vacaturepagina,aantal_vacatures,nieuwspagina,laatste_publicatie,dagen_stil,sitemap_urls,platform,linkedin_bedrijf,emails,persoonlijke_email,prio,let_op
Jane Lushka,janelushka.com,200,,https://janelushka.com/pages/jane-lushka-about-us,,,,,,,"5 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Aaiko,aaiko.com,200,,https://aaiko.com/pages/our-story,,https://aaiko.com/pages/careers,0,https://aaiko.com/pages/lookbook-overview-2,,,"5 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Summum Woman,summumwoman.com,200,,,,,,,,,"21 sitemaps, eerste met 1 urls",Shopify,,,,laag,
LaDress,ladress.com,200,,https://ladress.com/pages/about-us,Esther van Bezooijen (ceo),https://ladress.com/pages/careers,0,,,,"31 sitemaps, eerste met 1 urls",Shopify,https://linkedin.com/company/ladress,,,midden,
Lekker Bikes,lekkerbikes.com,200,,https://lekkerbikes.com/pages/about-us,,,,https://lekkerbikes.com/blogs/news/user-guide-enviolo-manual-stepless-gear-shifter,,,"21 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Catwalk Junkie,catwalkjunkie.com,200,,,,https://catwalkjunkie.com/pages/jobs-headoffice,0,,,,"49 sitemaps, eerste met 1 urls",Shopify,https://www.linkedin.com/company/u-s-p-fashion-b-v-,,,laag,
Colourful Rebel,colourfulrebel.com,200,https://colourfulrebel.com/password,,,,,,,,,Shopify,,,,laag,
Poederbaas,poederbaas.com,200,,https://poederbaas.com/pages/about-us,,,,https://poederbaas.com/blogs/news,,,"17 sitemaps, eerste met 1 urls",Shopify,https://www.linkedin.com/company/3156424,,,midden,
Cosmeau,cosmeau.com,200,,https://cosmeau.com/pages/over-ons,,https://cosmeau.com/pages/vacature-creative-growth-marketeer,0,https://cosmeau.com/blogs/all,2026-08-17,0,"17 sitemaps, eerste met 1 urls",Shopify,,support@cosmeau.com,,midden,
Zenggi,zenggi.com,200,,https://zenggi.com/pages/about-us,,,,,,,"21 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Ballin Amsterdam,ballinamsterdam.com,200,https://www.ballinamsterdam.com/,,,,,https://www.ballinamsterdam.com/pages/faq-products,,,"9 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Isabel Bernard,isabelbernard.com,200,https://www.isabelbernard.com/,,,,,,,,"37 sitemaps, eerste met 1 urls",Shopify,,,,laag,
RainPharma,rainpharma.com,200,,,,,,https://rainpharma.com/blogs/news,,,"36 sitemaps, eerste met 1 urls",Shopify,,,,laag,
ANNA plus NINA,anna-nina.nl,200,https://www.anna-nina.nl/,,,,,,,,"9 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Butcher of Blue,butcherofblue.com,200,,,,,,,,,"13 sitemaps, eerste met 1 urls",Shopify,https://www.linkedin.com/company/butcher-of-blue,,,laag,
Rosefield,rosefieldwatches.com,200,https://www.rosefieldwatches.com/,,,https://eu.rosefieldwatches.com/pages/careers?_gl=1*81xok3*_gcl_au*ODk0ODI5Mzk4LjE3NzM2NzM1MDAuMjA1NTI1MDk3OS4xNzc5MzczMzEyLjE3NzkzNzMzMTI.*_ga*MTkwNDE3NDU5Ny4xNzI3NjkxNTk1*_ga_Y8422J08XW*czE3ODAwNTQxMTIkbzIzMiRnMSR0MTc4MDA1NDYwOSRqNjAkbDAkaDkwMjI0Mjcw,1,,,,"21 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Studio Ins en Outs,studioinsenouts.nl,200,https://www.studioinsenouts.nl/,,,,,https://www.studioinsenouts.nl/blogs/nieuws,,,"5 sitemaps, eerste met 1 urls",Shopify,,info@studioinsenouts.nl,,laag,
Wolplein,wolplein.nl,200,https://www.wolplein.nl/,,,,,https://www.wolplein.nl/pages/blog,,,"27 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Sapph,sapph.com,200,https://www.sapph.com/,https://www.sapph.com/pages/over-ons,,,,,,,"5 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Marcels Green Soap,marcelsgreensoap.com,200,,https://marcelsgreensoap.com/pages/ons-team,Anne van Dijk (accountmanager); Manon van Vliet (head of),https://marcelsgreensoap.com/pages/vacatures,0,https://marcelsgreensoap.com/pages/soap-academy,,,"26 sitemaps, eerste met 1 urls",Shopify,,,,midden,
Malelions,malelions.com,200,,,,,,,,,"13 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Quotrell,quotrell.com,200,,https://quotrell.com/pages/over-ons,Hans Peters (founder),https://quotrell.com/pages/career-opportunities-1,0,,,,"45 sitemaps, eerste met 1 urls",Shopify,,support@quotrell.com,,midden,
Muchachomalo,muchachomalo.com,200,https://www.muchachomalo.com/,,Manager de Shopify (manager),,,,,,"21 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Xtorm,xtorm.eu,200,https://www.xtorm.eu/,,,,,,,,"5 sitemaps, eerste met 1 urls",Shopify,https://www.linkedin.com/company/xtormeu,,,laag,
Seepje,seepje.com,200,,,,,,,,,"13 sitemaps, eerste met 1 urls",Shopify,https://nl.linkedin.com/company/seepje,,,laag,
Pieter Pot,pieter-pot.nl,200,,,,,,https://pieter-pot.nl/blogs/artikelen,2026-01-23,206,"5 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Eyelove Brillen,eyelovebrillen.nl,onbereikbaar,,,,,,,,,,,,,,,"site niet opgehaald, handmatig nakijken"
Fromanteel,fromanteel.nl,200,https://fromanteel.nl/password,,,,,,,,,Shopify,,,,laag,
Veloretti,veloretti.com,200,https://www.veloretti.com/,https://www.veloretti.com/about-us,,https://www.veloretti.com/jobs,0,,,,440,Shopify,https://www.linkedin.com/company/veloretti%C2%AE-bicycles,,,midden,
Yogisha,yogisha.nl,200,https://www.yogisha.nl/nl/,,,https://www.yogisha.nl/nl/service/vacatures/,3,https://www.yogisha.nl/nl/blogs/inspiratie/,,,"3 sitemaps, eerste met 1264 urls",Lightspeed,,,,midden,
Dstrezzed,dstrezzed.com,200,https://www.dstrezzed.com/,https://www.dstrezzed.com/pages/about-us,,,,,,,"17 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Blond Amsterdam,blond-amsterdam.com,200,,https://blond-amsterdam.com/over-blond-amsterdam/ons-verhaal/,,https://blond-amsterdam.com/over-blond-amsterdam/vacatures/,2,https://blond-amsterdam.com/over-blond-amsterdam/nieuws/,,,,BigCommerce,,info@blond-amsterdam.nl,,midden,
Rehab Footwear,rehabfootwear.com,200,https://www.rehabfootwear.com/,,,,,,,,"9 sitemaps, eerste met 1 urls","Lightspeed, Shopify",https://nl.linkedin.com/company/rehab-footwear,onlinestore@rehabfootwear.com,,laag,
Wakuli,wakuli.com,200,https://www.wakuli.com/,https://www.wakuli.com/pages/mission,,,,https://www.wakuli.com/blogs/impact-articles,,,"21 sitemaps, eerste met 1 urls",Shopify,,coffee@wakuli.com,,laag,
Printenbind,printenbind.nl,200,https://www.printenbind.nl/,https://www.printenbind.nl/over-ons,,https://werkenbijprintenbind.nl/,4,https://www.printenbind.nl/nieuws/drukwerk-beginnende-onderneming,2026-08-05,12,692,,https://www.linkedin.com/company/printenbind,"erwin@printenbind.nl, info@printenbind.nl",erwin@printenbind.nl,hoog,
Flinndal,flinndal.nl,403,,,,,,,,,,,,,,,"site niet opgehaald, handmatig nakijken"
PLNTS,plnts.com,200,https://plnts.com/nl/,,,,,https://plnts.com/nl/blog,,,"12 sitemaps, eerste met 56 urls",,,support@plnts.com,,laag,
Purewhite,purewhite.nl,200,https://www.pure-path.com/,https://www.pure-path.com/pages/about,,https://www.pure-path.com/pages/careers,0,,,,"5 sitemaps, eerste met 1 urls",Shopify,,,,laag,domein leidt door naar pure-path.com
Podobrace,podobrace.nl,200,https://www.podobrace.nl/,https://www.podobrace.nl/over-ons/,,https://www.podobrace.nl/vacatures/,0,https://www.podobrace.nl/nieuws/,2020-12-01,2085,1033,,https://www.linkedin.com/company/podobrace,info@podobrace.nl,,midden,anderhalf jaar niets gepubliceerd
Werk aan de Muur,werkaandemuur.nl,403,,,,,,,,,,,,,,,"site niet opgehaald, handmatig nakijken"
Grutto,grutto.com,200,https://www.grutto.com/nl,,,,,,,,"4 sitemaps, eerste met 1150 urls",,,,,laag,
Power Supplements,powersupplements.nl,200,https://www.powersupplements.nl/,,,,,https://www.powersupplements.nl/blog/hoe-gezonde-voeding-gelukkig-maakt,2026-08-12,5,"3 sitemaps, eerste met 1000 urls",,,,,midden,
Somnox,somnox.com,200,,https://somnox.com/team-somnox/,Julian Jagtenberg (founder),,,https://somnox.com/blog/,,,"2 sitemaps, eerste met 87 urls","WooCommerce, WordPress",https://www.linkedin.com/company/somnox,,,hoog,
Fotofabriek,fotofabriek.nl,200,https://www.fotofabriek.nl/,https://www.fotofabriek.nl/over-ons/,,https://werkenbijfotofabriek.nl/,4,https://www.fotofabriek.nl/blog/,,,1461,,https://www.linkedin.com/company/fotofabriek,klantenservice@fotofabriek.nl,,hoog,
CanvasCompany,canvascompany.nl,200,https://www.canvascompany.nl/,,,,,,,,"35 sitemaps, eerste met 0 urls",Magento,,,,laag,
Matt Sleeps,mattsleeps.com,200,https://www.mattsleeps.com/nl,,,,,,,,209,,,"support@mattsleeps.com, support@mattsleeps.com\\\, u003esupport@mattsleeps.com",,laag,
Just Franky,justfranky.com,200,,,,,,,,,1,,,,,laag,
