"bedrijf","domein","beslisser","rol","beslisser_status","beslisser_bron","aantal_bronnen","bron_met_datum","bedrijf_uitslag","bedrijf_code","koopmogelijkheid","brief_gereed"
"Cloudpillo","cloudpillo.com","Lars van der Wijst","mede-oprichter","GEVERIFIEERD","Wonen360 + RetailTrends + Forbes 30 under 30","3","nee","verkoopt","200","ja","ja"
"BOSKA Food Tools","boska.com","Martijn Bos","eigenaar en directeur, vierde generatie","GEVERIFIEERD","nlgroeit-interview + Kijk op BR","2","nee","verkoopt","200","ja","ja"
"STOX Energy Socks","stoxenergy.com","Stijn Nuijten","CEO","GEVERIFIEERD","FashionUnited + RetailTrends","2","nee","verkoopt","200","ja","ja"
"Paul Roescher","paulroescher.nl","Paul Roescher","directeur en oprichter","GEVERIFIEERD","eigen over-ons + VRO + Stagemarkt","3","nee","verkoopt","200","ja","ja"
"Zitmaxx Wonen","zitmaxx.nl","Arien Vos","directeur","GEVERIFIEERD","Omroep West + Interior Business (magazijnbrand) + LinkedIn","3","nee","verkoopt","200","ja","ja"
"Giga Meubel","gigameubel.nl","Alex van Drenth","oprichter en eigenaar, alg. directeur sinds 2017","GEVERIFIEERD","Interior Business interview + Bedrijvenregister","2","nee","verkoopt","200","ja","ja"
"123inkt.nl","123inkt.nl","Gerben Kreuning","oprichter en eigenaar","GEVERIFIEERD","Wikipedia + Twinkle coverinterview","2","nee","verkoopt","200","ja","ja"
"123schoon.nl","123schoon.nl","Gerben Kreuning","oprichter en eigenaar","GEVERIFIEERD","Wikipedia + eigen historie","2","nee","verkoopt","200","ja","ja"
"DeJong Cheese - Alphenaer","dejongcheese.nl","Arjan de Jong","eigenaar","GEVERIFIEERD","eigen about-us + LinkedIn","2","nee","verkoopt","200","ja","ja"
"Goldbergh","goldbergh.com","Sandra Peet","mede-oprichter","GEVERIFIEERD","Quote + FashionUnited","2","nee","verkoopt","200","ja","ja"
"Zelesta","zelesta.nl","Sven Bosschaart","oprichter en CEO","GEVERIFIEERD","Wonen360 + Interior Business","2","nee","verkoopt","200","ja","ja"
"Ledhandel24.nl","ledhandel24.nl","Rob Haarhuis","oprichter en eigenaar","GEVERIFIEERD","eigen over-ons + Trekkerweb merkpartnerpagina en Trekker/Boerderij december 2023 over de LED Guide","2","ja","verkoopt","200","ja","ja"
"Impermo","impermo.nl","Ann Gijsens","CEO","GEVERIFIEERD","Made-in.be + Voka + eigen over-ons","3","nee","LET OP: geen koopmogelijkheid gevonden","200","nee","ja"
"Onlineverf.nl","onlineverf.nl","Jan-Willem Harmsen","oprichter, aandeelhouder en directeur","GEVERIFIEERD","LinkedIn + Emerce + Interior Business","3","nee","verkoopt","200","ja","ja"
"CAVALLARO NAPOLI","cavallaronapoli.com","Giuseppe Cavallaro","oprichter en eigenaar","GEVERIFIEERD","Textilia + Masters Expo + CTS Group","3","nee","verkoopt","200","ja","ja"
