bedrijf,beslisser,status,actie,batch,lp_url,datum
Cloudpillo,Lars van der Wijst,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/cloudpillo,
BOSKA Food Tools,Martijn Bos,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/boska-food-tools,
STOX Energy Socks,Stijn Nuijten,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/stox-energy-socks,
Paul Roescher,Paul Roescher,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/paul-roescher,
Zitmaxx Wonen,Arien Vos,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/zitmaxx-wonen,
Giga Meubel,Alex van Drenth,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/giga-meubel,
123inkt.nl,Gerben Kreuning,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/123inkt-nl,
123schoon.nl,Gerben Kreuning,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/123schoon-nl,
DeJong Cheese - Alphenaer,Arjan de Jong,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/dejong-cheese-alphenaer,
Goldbergh,Sandra Peet,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/goldbergh,
Zelesta,Sven Bosschaart,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/zelesta,
Ledhandel24.nl,Rob Haarhuis,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/ledhandel24-nl,
Impermo,Ann Gijsens,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/impermo,
Onlineverf.nl,Jan-Willem Harmsen,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/onlineverf-nl,
CAVALLARO NAPOLI,Giuseppe Cavallaro,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/cavallaro-napoli,
Proforto,Jelle Gudden,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/proforto,
Drunens Ruiterhuis,Tom Ruisbroek,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/drunens-ruiterhuis,
Cartouche Fashion,Fred van der Steen,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/cartouche-fashion,
Baktotaal,Gerrit Bouwhuis,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/baktotaal,
Dutch Jerky,Jasper Poldervaart,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/dutch-jerky,
Hart Beach,Paul Schuitema,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/hart-beach,
BONO,Justin Regterschot,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/bono,
Detailrs,Leon Verstraaten,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/detailrs,
Eve Curls,Ewa Delezuch-Ntambala,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/eve-curls,
Superyoga,Guido Wattel,lijst,Kaart in productie,5,https://intro-pique.agency/bcs5/superyoga,
