vestiging,bedrijf,beslisser,status,lp_gescand,actie,datum,batch,scans,laatste_scan
,A-dam Underwear,,benaderd,nee,Brief verstuurd,,1,,
,Zusss,,benaderd,nee,Brief verstuurd,,1,,
,Your Wishes,,benaderd,nee,Brief verstuurd,,1,,
,Fabienne Chapot,,benaderd,nee,Brief verstuurd,,1,,
,Kings of Indigo,,benaderd,nee,Brief verstuurd,,1,,
,The Car Parfume,Ruben,benaderd,nee,Brief verstuurd,,1,,
,Nootens Lifestyle,Joris Bakker,benaderd,nee,Brief verstuurd,,1,,
,Mr. Marvis,,benaderd,nee,Brief verstuurd,,1,,
,MUD Jeans,,benaderd,nee,Brief verstuurd,,1,,
,Kuyichi,,benaderd,nee,Brief verstuurd,,1,,
,Labfresh,,benaderd,nee,Brief verstuurd,,1,,
,Saint Basics,,benaderd,nee,Brief verstuurd,,1,,
,Sproet & Sprout,,benaderd,nee,Brief verstuurd,,1,,
,Kosso Nutrition,,benaderd,nee,Brief verstuurd,,1,,
,Colours & Sons,,benaderd,nee,Brief verstuurd,,1,,
,Komrads,,benaderd,nee,Brief verstuurd,,1,,
,FEST Amsterdam,,benaderd,nee,Brief verstuurd,,1,,
,FLOTTE,,benaderd,nee,Brief verstuurd,,1,,
,Refished,,benaderd,nee,Brief verstuurd,,1,,
,Delft Denim,Bas Visser,benaderd,nee,Brief verstuurd,,1,,
,Eindbaas Apparel,,benaderd,nee,Brief verstuurd,,1,,
,Studio Anneloes,,benaderd,nee,Brief verstuurd,,1,,
,Penn & Ink,,benaderd,nee,Brief verstuurd,,1,,
,Lois Jeans,,benaderd,nee,Brief verstuurd,,1,,
,JOSH V,,benaderd,nee,Brief verstuurd,,1,,
,Yaya,,benaderd,nee,Brief verstuurd,,1,,
,Transfer,,benaderd,nee,Brief verstuurd,,1,,
,Alchemist,,benaderd,nee,Brief verstuurd,,1,,
,Rhumaa,,benaderd,nee,Brief verstuurd,,1,,
,Dutchbone,,benaderd,nee,Brief verstuurd,,1,,
,Zuiver,,benaderd,nee,Brief verstuurd,,1,,
,It's About RoMi,,benaderd,nee,Brief verstuurd,,1,,
,Bazar Bizar,,benaderd,nee,Brief verstuurd,,1,,
,vtwonen shop,,benaderd,nee,Brief verstuurd,,1,,
,HKliving,,benaderd,nee,Brief verstuurd,,1,,
,Pomax,,benaderd,nee,Brief verstuurd,,1,,
,Vetain,,benaderd,nee,Brief verstuurd,,1,,
,Plnktn,,benaderd,nee,Brief verstuurd,,1,,
,Noordcode,,benaderd,nee,Brief verstuurd,,1,,
,Foodspring NL,,benaderd,nee,Brief verstuurd,,1,,
,Women's Best NL,,benaderd,nee,Brief verstuurd,,1,,
,Goosecraft,,benaderd,nee,Brief verstuurd,,1,,
,Naif Care,,benaderd,nee,Brief verstuurd,,1,,
,Marie-Stella-Maris,,benaderd,nee,Brief verstuurd,,1,,
,Pip Studio,,benaderd,nee,Brief verstuurd,,1,,
,Essenza Home,,benaderd,nee,Brief verstuurd,,1,,
,Beddinghouse,,benaderd,nee,Brief verstuurd,,1,,
,Aver Living,,benaderd,nee,Brief verstuurd,,1,,
,Snurk,,benaderd,nee,Brief verstuurd,,1,,
,Cast Iron,,benaderd,nee,Brief verstuurd,,1,,
,Filling Pieces,Guillaume Philipe,benaderd,nee,Brief verstuurd,,1,,
,Daily Paper,Abderrahmane Trichine,benaderd,nee,Brief verstuurd,,1,,
,Olaf Hussein,Olaf Hussein,benaderd,nee,Brief verstuurd,,1,,
,Organic Basics,Mads Fibiger,benaderd,nee,Brief verstuurd,,1,,
,Tenue de Nîmes,,benaderd,nee,Brief verstuurd,,1,,
,Juttu,,benaderd,nee,Brief verstuurd,,1,,
,Essentiel Antwerp,,benaderd,nee,Brief verstuurd,,1,,
,Maison Lab,,benaderd,nee,Brief verstuurd,,1,,
,8mountains,,benaderd,nee,Brief verstuurd,,1,,
,Only Natural,,benaderd,nee,Brief verstuurd,,1,,
,Pockies,,benaderd,nee,Brief verstuurd,,1,,
,Studio Noos,,benaderd,nee,Brief verstuurd,,1,,
,Bamigo,,benaderd,nee,Brief verstuurd,,1,,
,Dopper,,benaderd,nee,Brief verstuurd,,1,,
,Nikkie,,benaderd,nee,Brief verstuurd,,1,,
,HAY Shop,,benaderd,nee,Brief verstuurd,,1,,
,Ferm Living NL,,benaderd,nee,Brief verstuurd,,1,,
,Normann Copenhagen NL,,benaderd,nee,Brief verstuurd,,1,,
,Vanilia,,benaderd,nee,Brief verstuurd,,1,,
,Blue Industry,,benaderd,nee,Brief verstuurd,,1,,
,Cotton Club,,benaderd,nee,Brief verstuurd,,1,,
,Auping Shop,,benaderd,nee,Brief verstuurd,,1,,
,Expresso Fashion,,benaderd,nee,Brief verstuurd,,1,,
,Aevor,,benaderd,nee,Brief verstuurd,,1,,
,Geisha Fashion,,benaderd,nee,Brief verstuurd,,1,,
,By-Boo,,benaderd,nee,Brief verstuurd,,1,,
,Denham The Jeanmaker,,benaderd,nee,Brief verstuurd,,1,,
,Ekster,,benaderd,nee,Brief verstuurd,,1,,
,Vingino,,benaderd,nee,Brief verstuurd,,1,,
,Ace & Tate,,benaderd,nee,Brief verstuurd,,1,,
,BALR.,,benaderd,nee,Brief verstuurd,,1,,
,Sissy-Boy,,benaderd,nee,Brief verstuurd,,1,,
,Vanilia,,benaderd,nee,Brief verstuurd,,1,,
,Mr. Maria,,benaderd,nee,Brief verstuurd,,1,,
,Hunkemöller,,benaderd,nee,Brief verstuurd,,1,,
,Rituals,,benaderd,nee,Brief verstuurd,,1,,
,Scotch & Soda,,benaderd,nee,Brief verstuurd,,1,,
,G-Star RAW,,benaderd,nee,Brief verstuurd,,1,,
,Bonkers About Socks,,benaderd,nee,Brief verstuurd,,1,,
,Nubikk,,benaderd,nee,Brief verstuurd,,1,,
,Ontour Fashion,,benaderd,nee,Brief verstuurd,,1,,
,Patta,,benaderd,nee,Brief verstuurd,,1,,
,NA-KD,,benaderd,nee,Brief verstuurd,,1,,
,Ontwerpduo Shop,,benaderd,nee,Brief verstuurd,,1,,
,Filling Pieces (groot),,benaderd,nee,Brief verstuurd,,1,,
,Daily Paper (groot),,benaderd,nee,Brief verstuurd,,1,,
,Gymshark,,benaderd,nee,Brief verstuurd,,1,,
,Leisure Club,,benaderd,nee,Brief verstuurd,,1,,
,WOOV,,benaderd,nee,Brief verstuurd,,1,,
,Pip Studio (enterprise),,benaderd,nee,Brief verstuurd,,1,,
,Florèz,Marilène Oldert,gescand,ja,"Brief gescand, wordt opgevolgd",24 jul,2,1,
,denim.lab,Sander van de Vecht,benaderd,nee,Brief verstuurd,,2,,
,Benzak Denim Developers,Lennaert Nijgh,benaderd,nee,Brief verstuurd,,2,,
,Lotties Period,Milou van Dalen,benaderd,nee,Brief verstuurd,,2,,
,Savara Intimates,Michelle Jamoneau,benaderd,nee,Brief verstuurd,,2,,
,Boru Bamboo,,benaderd,nee,Brief verstuurd,,2,,
,Swaens Bamboo Underwear,Mark van Seggelen,gescand,ja,"Brief gescand, email gestuurd",20 jul,2,1,
,Unrecorded,Jolle van der Mast,benaderd,nee,Brief verstuurd,,2,,
,Rhea,Roos Fleuren,benaderd,nee,Brief verstuurd,,2,,
,Loop.a life,Ellen Mensink,benaderd,nee,Brief verstuurd,,2,,
,Lofty Manner,Michael Vinke,benaderd,nee,Brief verstuurd,,2,,
,Girav,Arné Imming,benaderd,nee,Brief verstuurd,,2,,
,Plantsome,Axel Persoon,benaderd,nee,Brief verstuurd,,2,,
,Urban Nature Culture,Marel Paus,benaderd,nee,Brief verstuurd,,2,,
,Passion for Linen,Barbara Sprengers,gescand,ja,"Brief gescand, email gestuurd",15 jul,2,1,
,By Mölle,Lucienne Dunnewijk,benaderd,nee,Brief verstuurd,,2,,
,Casa Comodo,Joanna Vervoort,benaderd,nee,Brief verstuurd,,2,,
,UrbanSofa,Ronald Arissen,benaderd,nee,Brief verstuurd,,2,,
,Yumeko,Rob van den Dool,benaderd,nee,Brief verstuurd,,2,,
,Sfeer aan de Muur,Lieke Theresia den Braanker,gescand,ja,"Brief gescand, email gestuurd",15 jul,2,1,
,BedAffair,Marjolein Vaders,benaderd,nee,Brief verstuurd,,2,,
,DEENS.NL,Nicole Loos,benaderd,nee,Brief verstuurd,,2,,
,The Souks,Sandra van Aanholt,gescand,ja,"Brief gescand, email gestuurd",15 jul,2,1,
,Kalani,Bruno Van Steenberghe,benaderd,nee,Brief verstuurd,,2,,
,Meroda Cosmetics,Micha Medendorp,benaderd,nee,Brief verstuurd,,2,,
,Velveux,Ali Abbas,benaderd,nee,Brief verstuurd,,2,,
,Dr. Jetske Ultee,Matthijs Boog,gescand,ja,"Brief gescand, email gestuurd",15 jul,2,1,
,Kaerel Skincare,Ton Severrien,gescand,ja,"Brief gescand, email gestuurd",15 jul,2,1,
,Queen Tarzi,Manizha Nabizada,gescand,ja,"Brief gescand, email gestuurd",21 jul,2,1,
,LOOkX Cosmetics,Cindy van der Peet,benaderd,nee,Brief verstuurd,,2,,
,WONDR,Tibbe Verschaffel,benaderd,nee,Brief verstuurd,,2,,
,Loïs Lee SkinCare,Debbie van Weelden,benaderd,nee,Brief verstuurd,,2,,
,IK Skin Perfection,Petra Sanderman,benaderd,nee,Brief verstuurd,,2,,
,Food for Skin,Angela Ursem,benaderd,nee,Brief verstuurd,,2,,
