vestiging,bedrijf,beslisser,status,lp_gescand,actie,datum,batch,scans,laatste_scan
,DGC,Robbert de Jong,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Hakvoort,Eric Harsta,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Cijfermeester,Robert Zuijdwegt,gescand,ja,1 scan - gemaild,14 jul,Batch 1 franchise,,
,Kersten,Inge van Baalen,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Lamme,Michel Lammerts,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Wildkamp,Arthur Kuiters,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,MultiCopy,Myra Dik,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Protect,Hein Coomans,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,NL Brandbeveiliging,Joost de Wildt,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,In-Person,Peterine van Egdom,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Jongeneel,Cor Boeve,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Abemec,Mark Hendriksen,gescand,ja,1 scan - gemaild,8 jul,Batch 1 franchise,,
,Atalian,Annet Kosse,afgevallen,ja,2 scans - gemaild,9 jul,Batch 1 franchise,,
,OBN,Gerald Merkus,gesprek,ja,1 scan - gemaild,8 jul,Batch 1 franchise,,
,PBM Partner,Harrie Lagerwaard,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Huurmaat,John Lieshout,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,ABS Autoherstel,Ineke van Klei,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Econed Werk,Joyce van den Noort,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Glaspunt,Joris Janssen,gescand,ja,1 scan - gemaild,10 jul,Batch 1 franchise,,
,Westpoort,Maarten van Andel,afspraak,ja,3 scans - gemaild,7 jul,Batch 1 franchise,,
,Gio Coffee,Rianne van Koot,gescand,ja,1 scan - gemaild,9 jul,Batch 1 franchise,,
,SolarToday,Renee Dommerholt-ter Avest,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Dynamis,Jeroen Kroondijk,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,TSNED,Emiel de Bruin,afspraak,ja,1 scan - gemaild,13 jul,Batch 1 franchise,,
,HANOS,Jan Karel Renaud,benaderd,nee,Kaart verstuurd,,Batch 1 franchise,,
,Oranjedak,Lisanne de Gier-Valken,gescand,ja,2 scans - gemaild,13 jul,Batch 2 franchise,,
,Finovion,Wichard Hendriks,afspraak,ja,1 scan,22 jul,Batch 2 franchise,,
,Horesca Lieferink,Ronald Lieferink,benaderd,nee,Kaart verstuurd,,Batch 2 franchise,,
