vestiging,bedrijf,beslisser,functie,status,lp_gescand,actie,datum,batch,lp_url,scans,laatste_scan
,FRISS,Pieter Nel,Chief Commercial Officer,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/friss,,
,Fourthline,Jesse Weststrate,Chief Revenue Officer,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/fourthline,,
,Silverflow,Robert Kraal,Co-Founder en Chief Business Development Officer,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/silverflow,,
,Sana Commerce,Ruben Mink,Chief Revenue Officer,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/sana-commerce,,
,Channable,Jessica Laan,Chief Revenue Officer,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/channable,,
,Eye Security,Job Kuijpers,Oprichter en CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/eye-security,,
,EclecticIQ,Steve Armstrong,Chief Revenue Officer,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/eclecticiq,,
,Blueriq,Frank van den Hul,Commercial Manager,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/blueriq,,
,Hyarchis,Michel Jongboer,CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/hyarchis,,
,Deployteq,Douwe Baarsma,Commercial Director,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/deployteq,,
,Bronkhorst High-Tech,Ger Groot Wesseldijk,CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/bronkhorst-high-tech,,
,Nearfield Instruments,Hamed Sadeghian,Medeoprichter en CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/nearfield-instruments,,
,Aeronamic,Steffen de Vries,CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/aeronamic,,
,Hittech Group,Eric Driessen,CEO en algemeen directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/hittech-group,,
,KMWE Group,Edward Voncken,CEO en mede-eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/kmwe-group,,
,IBS Precision Engineering,Henny Spaan,CEO en oprichter,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/ibs-precision-engineering,,
,BluePrint Automation,Gijsbert Dezaire,CEO,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/blueprint-automation,,
,Rademaker,Gerard Muermans,CEO (commerciële kant),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/rademaker,,
