bedrijf,domein,statutaire_naam,adres,postcode,plaats,kvk,bag_id,notitie
ANNA plus NINA,anna-nina.nl,Anna + Nina B.V.,Gerard Douplein 17,1073XE,Amsterdam,58057897,NL1073XE-17,
Aaiko,aaiko.com,Aaiko Retail B.V.,Rigakade 20,1013BC,Amsterdam,62781723,NL1013BC-20,
Ballin Amsterdam,ballinamsterdam.com,Oakley Amsterdam,Kalverstraat 136,1012XD,Amsterdam,33281895,NL1012XD-136,gevonden via name=Ballin Amsterdam
Blond Amsterdam,blond-amsterdam.com,Blond USA,Bromostraat 24,1067TG,Amsterdam,50454110,NL1067TG-24,
Butcher of Blue,butcherofblue.com,Butcher of Blue B.V.,Soesterweg 310 A,3812BH,Amersfoort,70648115,NL3812BH-310,
CanvasCompany,canvascompany.nl,CanvasCompany.nl B.V.,Jumaweg 4,9291NA,Kollum,52568865,NL9291NA-4,
Catwalk Junkie,catwalkjunkie.com,U.S.P. Fashion Retail B.V.,Prinsengracht 419,1016HM,Amsterdam,67253253,NL1016HM-419,
Colourful Rebel,colourfulrebel.com,Colourful Rebel B.V.,Wibautstraat 135,1097DN,Amsterdam,63392976,NL1097DN-135,
Cosmeau,cosmeau.com,,,,,,,bedrijf niet gevonden
Fitchef,fitchef.nl,FitChef B.V.,Cimburgalaan 2,4819BC,Breda,76435008,NL4819BC-2,
Flinndal,flinndal.nl,Flinndal B.V.,Oerkapkade 5,2031EN,Haarlem,34195553,NL2031EN-5,
Foto op Hout,fotoophout.nl,Op Kleine Beer B.V.,Dotterbloemstraat 20,3286VM,Klaaswaal,85044431,NL3286VM-20,gevonden via name=Foto op Hout
Fotofabriek,fotofabriek.nl,Fotofabriek.nl B.V.,Osloweg 45,9723BH,Groningen,01138465,NL9723BH-45,
Greve Shoes,greve.nl,Schoenfabriek H. Greve B.V.,Zanddonkweg 1,5144NX,Waalwijk,18065123,NL5144NX-1,
Grutto,grutto.com,Grutto B.V.,Hoogstraat 23,1391BR,Abcoude,58587950,NL1391BR-23,
Jane Lushka,janelushka.com,Mary Jane V.O.F.,Hoogbrugstraat 4,6221CR,Maastricht,67467008,NL6221CR-4,gevonden via name=Jane Lushka
Just Franky,justfranky.com,Just Phones,Dierenriemstraat 108 a,9742AK,Groningen,56652526,NL9742AK-108,gevonden via name=Just Franky
LaDress,ladress.com,LaDress,De Lairessestraat 109,1071NX,Amsterdam,34247773,NL1071NX-109,
Lekker Bikes,lekkerbikes.com,Lekker Bikes,Tweede Kostverlorenkade 68,1053SB,Amsterdam,60449055,NL1053SB-68,
LouLou Essentiels,loulouessentiels.nl,by LouLou B.V.,Datheenstraat 57,2583BX,'s-Gravenhage,23081652,NL2583BX-57,
