bedrijf,domein,kandidaten,bron,kandidaat_vorige_ronde
ANNA plus NINA,anna-nina.nl,,,
Beaumont Amsterdam,beaumont.nl,,,
Bedrukken nl,bedrukken-nl,,,
Blackstone Shoes,blackstoneshoes.com,,,
Cadeaumakers,cadeaumakers,,,
CanvasCompany,canvascompany.nl,,,
Casimoda,casimoda.nl,,,
Circle of Trust,circleoftrust.nl,,,
Confirm Clothing,confirm-clothing,,,
Cosmeau,cosmeau.com,,,
Costes Fashion,costesfashion.com,,,
Dogs Companion,dogscompanion.nl,,,
Eyelove Brillen,eyelovebrillen.nl,,,
Fifth House,fifthhouse.nl,,,
Flinndal,flinndal.nl,,,
Foto op Hout,foto-op-hout,,,
Fotofabriek,fotofabriek.nl,,,
Fromanteel,fromanteel.nl,,,
Greve Shoes,greve.nl,,,
Horren Direct,horren-direct,,,
Isabel Bernard,isabelbernard.com,,,
Kraamcadeau,kraamcadeau,,,
Little Thingz,little-thingz,,,
LouLou Essentiels,loulouessentiels.nl,,,
MaakjeCadeau,maakjecadeau,,,
Malelions,malelions.com,Thijs Offermeijer (oprichter),https://malelions.com/pages/ons-verhaal,
Marcels Green Soap,marcelsgreensoap.com,,,Anne van Dijk (accountmanager); Manon van Vliet (head of)
Matt Sleeps,mattsleeps.com,,,
Metis Supplements,metis-supplements,,,
Muchachomalo,muchachomalo.com,,,Manager de Shopify (manager)
Namens Mij,namens-mij,,,
Names4ever,names4ever.nl,,,
Natural Heroes,naturalheroes.nl,,,
Naturaplaza,naturaplaza,,,
Overkappingoutlet,overkappingoutlet,,,
PLNTS,plnts.com,,,
PersonalSurprise,personalsurprise,,,
Pieter Pot,pieter-pot.nl,,,
Poederbaas,poederbaas.com,,,
Power Supplements,powersupplements.nl,,,
Printenbind,printenbind.nl,,,
Purewhite,purewhite.nl,,,
Quotrell,quotrell.com,Hans Peters (founder),https://quotrell.com/pages/over-ons,Hans Peters (founder)
Red-Rag,red-rag.nl,,,
Rosefield,rosefieldwatches.com,,,
Sapph,sapph.com,,,
Silvery,silvery,,,
Slaapkamerweb,slaapkamerweb,,,
Somnox,somnox.com,,,Julian Jagtenberg (founder)
Sticky Lemon,stickylemon.nl,,,
Studio Ins en Outs,studioinsenouts.nl,,,
Tafels op maat,tafels-op-maat,,,
Tuinmaximaal,tuinmaximaal,,,
Wakuli,wakuli.com,,,
Werk aan de Muur,werkaandemuur.nl,,,
Wolky,wolky.com,,,
Xsensible,xsensible.com,Thomas Krol (manager),https://www.xsensible.com/over-ons,Thomas Krol (manager)
Xtorm,xtorm.eu,,,
Yogisha,yogisha.nl,,,
