bedrijf,domein,kandidaat_vorige_ronde,teampagina
ANNA plus NINA,anna-nina.nl,,
Beaumont Amsterdam,beaumont.nl,,https://www.beaumontmaastricht.com/verhaal/
Bedrukken nl,bedrukken-nl,,
Blackstone Shoes,blackstoneshoes.com,,
Cadeaumakers,cadeaumakers,,
CanvasCompany,canvascompany.nl,,
Casimoda,casimoda.nl,,
Circle of Trust,circleoftrust.nl,,
Confirm Clothing,confirm-clothing,,
Cosmeau,cosmeau.com,,https://cosmeau.com/pages/over-ons
Costes Fashion,costesfashion.com,,
Dogs Companion,dogscompanion.nl,,https://www.dogscompanion.com/en/service/about/
Eyelove Brillen,eyelovebrillen.nl,,
Fifth House,fifthhouse.nl,,
Flinndal,flinndal.nl,,
Foto op Hout,foto-op-hout,,
Fotofabriek,fotofabriek.nl,,https://www.fotofabriek.nl/over-ons/
Fromanteel,fromanteel.nl,,
Greve Shoes,greve.nl,,https://www.greve.nl/pages/over-ons
Horren Direct,horren-direct,,
Isabel Bernard,isabelbernard.com,,
Kraamcadeau,kraamcadeau,,
Little Thingz,little-thingz,,
LouLou Essentiels,loulouessentiels.nl,,
MaakjeCadeau,maakjecadeau,,
Malelions,malelions.com,,
Marcels Green Soap,marcelsgreensoap.com,Anne van Dijk (accountmanager); Manon van Vliet (head of),https://marcelsgreensoap.com/pages/ons-team
Matt Sleeps,mattsleeps.com,,
Metis Supplements,metis-supplements,,
Muchachomalo,muchachomalo.com,Manager de Shopify (manager),
Namens Mij,namens-mij,,
Names4ever,names4ever.nl,,
Natural Heroes,naturalheroes.nl,,
Naturaplaza,naturaplaza,,
Overkappingoutlet,overkappingoutlet,,
PLNTS,plnts.com,,
PersonalSurprise,personalsurprise,,
Pieter Pot,pieter-pot.nl,,
Poederbaas,poederbaas.com,,https://poederbaas.com/pages/about-us
Power Supplements,powersupplements.nl,,
Printenbind,printenbind.nl,,https://www.printenbind.nl/over-ons
Purewhite,purewhite.nl,,https://www.pure-path.com/pages/about
Quotrell,quotrell.com,Hans Peters (founder),https://quotrell.com/pages/over-ons
Red-Rag,red-rag.nl,,
Rosefield,rosefieldwatches.com,,
Sapph,sapph.com,,https://www.sapph.com/pages/over-ons
Silvery,silvery,,
Slaapkamerweb,slaapkamerweb,,
Somnox,somnox.com,Julian Jagtenberg (founder),https://somnox.com/team-somnox/
Sticky Lemon,stickylemon.nl,,https://www.stickylemon.nl/pages/about
Studio Ins en Outs,studioinsenouts.nl,,
Tafels op maat,tafels-op-maat,,
Tuinmaximaal,tuinmaximaal,,
Wakuli,wakuli.com,,https://www.wakuli.com/pages/mission
Werk aan de Muur,werkaandemuur.nl,,
Wolky,wolky.com,,https://www.wolky.com/about-wolky/
Xsensible,xsensible.com,Thomas Krol (manager),https://www.xsensible.com/over-ons
Xtorm,xtorm.eu,,
Yogisha,yogisha.nl,,
