bedrijf,domein,herkomst,platform,producten,markten,cs_tools,review_tools,vacature,vacature_datum,reviewscore,klachten,opgelost_pct,kvk,postcode,telefoon,signalen
Cloudpillo,cloudpillo.com,vacature,,19,12,gorgias,trustpilot|trustedshops,Klantenservice Medewerker - Duits / Engels,2026-09-14,4.5,,,,5232 BX,+31 73 704 4350,Shopify; betaalt voor gorgias; 12 markten; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 1 uur; zoekt klantcontact: Klantenservice Medewerker - Duits / Enge; vacature staat nog open
BOSKA Food Tools,boska.com,vacature,,379,5,,judgeme,Medewerker klantenservice,2026-09-14,,4,0,,,010-4265331,Shopify; 379 artikelen; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 48 uur; zoekt klantcontact: Medewerker klantenservice; vacature staat nog open
Satechi,satechi.com,vacature,,141,3,hubspot,trustpilot,Order Fulfillment Specialist,2026-08-24,,,,,,,Shopify; betaalt voor hubspot; 141 artikelen; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Order Fulfillment Specialist; vacature staat nog open
STOX Energy Socks,stoxenergy.com,vacature,,246,23,whatsapp,trustpilot|trustedshops,Customer Service Specialist,2026-09-04,,,,,1076DE,,Shopify; 23 markten; 246 artikelen; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Service Specialist; vacature staat nog open
Paul Roescher,paulroescher.nl,vacature,,951,,,klantenvertellen,Medewerker Service Desk,2026-08-05,,1,0,,,055 360 1747,Shopify; 951 artikelen; eigen reviewplatform; belofte: Binnen 2 werkdagen; zoekt klantcontact: Medewerker Service Desk; vacature staat nog open
Zitmaxx Wonen,zitmaxx.nl,vacature,,,,tawk|whatsapp,trustpilot,Klantenservice Medewerker,2026-07-09,,4,71,59200359,2461 EX,0467555605,magento; betaalt voor tawk; eigen reviewplatform; desk dicht voor de avond; zoekt klantcontact: Klantenservice Medewerker; vacature staat nog open
Giga Meubel,gigameubel.nl,vacature,,,,whatsapp,kiyoh,Klantenservice medewerker 32-40 uur,2026-09-08,8.6,34,0,,3824 MJ,00 0358796,magento; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 24 uur; zoekt klantcontact: Klantenservice medewerker 32-40 uur; vacature staat nog open
123inkt.nl,123inkt.nl,vacature,,,3,freshdesk,kiyoh,Klantenservice Medewerker,2026-09-16,9.3,1,0,,1394 PC,,betaalt voor freshdesk; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Klantenservice Medewerker; vacature staat nog open
123schoon.nl,123schoon.nl,vacature,,,,freshdesk,kiyoh,Klantenservice Medewerker,2026-09-10,9.1,,,,1329 AK,,betaalt voor freshdesk; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Klantenservice Medewerker; vacature staat nog open
DeJong Cheese - Alphenaer,dejongcheese.nl,vacature,,,4,hubspot,,Medewerker Customer Service met een focus op planning en/of inkoop (40 uur),2026-07-21,,,,18049181,5131 RC,,woocommerce; betaalt voor hubspot; b2b naast d2c; geen telefoonlijn gevonden; zoekt klantcontact: Medewerker Customer Service met een focu; vacature staat nog open
Goldbergh,goldbergh.com,vacature,,249,13,gorgias,trustpilot,Email &amp; CRM Marketeer,2026-08-27,,2,0,,,,Shopify; betaalt voor gorgias; 13 markten; 249 artikelen; eigen reviewplatform; b2b naast d2c; geen telefoonlijn gevonden
Zelesta,zelesta.nl,vacature,,768,27,,trustpilot|judgeme,E-commerce Specialist,2026-09-21,,2,0,,,+31 10 793 4008,Shopify; 27 markten; 768 artikelen; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 24 uur
Ledhandel24.nl,ledhandel24.nl,vacature,,,,,trustedshops,Klantenservice medewerker (24 uur),2026-08-05,,,,,3026GS,+31611204496,woocommerce; eigen reviewplatform; desk dicht voor de avond; zoekt klantcontact: Klantenservice medewerker (24 uur); vacature staat nog open
Impermo,impermo.nl,vacature,,,6,,trustpilot,Customer Care Professional,2026-09-10,,,,,,,6 markten; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Care Professional; vacature staat nog open
Zero Friction,zerofriction.com,vacature,,64,,,judgeme,Customer Service and Operations Agent NL &amp; FR,2026-07-23,,,,,,,Shopify; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Service and Operations Agent NL; vacature staat nog open
Onlineverf.nl,onlineverf.nl,vacature,,,3,whatsapp,trustpilot|trustedshops,Medewerker klantenservice,2026-09-11,,,,,,085-112 02 02,eigen reviewplatform; desk dicht voor de avond; zoekt klantcontact: Medewerker klantenservice; vacature staat nog open
CAVALLARO NAPOLI,cavallaronapoli.com,vacature,,,5,intercom|whatsapp,trustedshops,Online Merchandiser,2026-09-08,,2,0,,1071 BM,0159126614,magento; betaalt voor intercom; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 2 uur
Proforto®,proforto.nl,vacature,,,3,trengo|whatsapp,trustpilot|yotpo,Logistiek Medewerker bij Proforto,2026-06-23,,0,8,62922351,6541CW,+31 24 808 2166,magento; betaalt voor trengo; eigen reviewplatform; vierdaagse week; belofte: binnen 24 uur
Drunens Ruiterhuis,drunensruiterhuis.nl,vacature,,,,whatsapp,kiyoh,Allround Klantenservice &amp; Administratie medewerker bij Drunens Ruiterhuis - fulltime,2026-09-22,,,,18130789,2026 HV,+31 650291326,magento; eigen reviewplatform; zoekt klantcontact: Allround Klantenservice &amp; Administra; vacature staat nog open
Cartouche Fashion,cartouchefashion.com,vacature,,300,8,,,E-commerce &amp; Social Media Specialist Cartouche Fashion,2026-09-09,,,,,,,Shopify; 8 markten; 300 artikelen; belofte: binnen 2 werkdagen; geen telefoonlijn gevonden
Baktotaal,baktotaal.nl,vacature,,,8,,feedbackcompany,Online marketeer Duits,2026-09-11,,,,54072905,7472 DD,,magento; 8 markten; eigen reviewplatform; b2b naast d2c; desk dicht voor de avond; geen telefoonlijn gevonden
Dutch Jerky,dutchjerky.com,vacature,,,,klaviyo-chat,trustpilot,Customer &amp; Content Guru,2026-09-18,9.6,,,94108722,6981 DL,,woocommerce; betaalt voor klaviyo-chat; eigen reviewplatform; desk dicht voor de avond; geen telefoonlijn gevonden
Snackpilot,snackpilot.nl,vacature,,65,183,zendesk,,Sales Representative (m/f/d) - Full-time or Part-time Remote,2026-08-24,,,,,,,Shopify; betaalt voor zendesk; 183 markten; geen telefoonlijn gevonden
Hart Beach,hartbeach.nl,vacature,,249,4,zendesk,kiyoh,Website &amp; Webshop Beheerder,2026-09-19,,,,,2583 DL,070-3502591,Shopify; betaalt voor zendesk; 249 artikelen; eigen reviewplatform
BONO,bono.nl,vacature,,,,intercom,trustedshops,Media Buyer (META) | Paid Social Specialist,2026-08-31,4.86582,,,74636391,1511MA,,Shopify; betaalt voor intercom; eigen reviewplatform; geen telefoonlijn gevonden
Detailrs,detailrs.nl,vacature,,87,3,,trustpilot|judgeme,E-commerce &amp; UX Lead,2026-08-31,4.8,,,,,085 800 0647,Shopify; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 24 uur
Eve Curls,evecurls.nl,vacature,,15,33,,trustpilot,COO Fast Growing DTC/CPG Brand,2026-09-21,,,,,,,Shopify; 33 markten; eigen reviewplatform; geen telefoonlijn gevonden
Superyoga,superyoga.nl,vacature,,,,chatgpt-bot,kiyoh|yotpo|klantenvertellen,Social Media &amp; Performance Marketeer,2026-09-01,9.6,,,95427309,1181NB,,betaalt voor chatgpt-bot; eigen reviewplatform; belofte: binnen 24 uur; geen telefoonlijn gevonden
Heinen Delfts Blauw,heinendelftsblauw.nl,vacature,,,,hubspot,yotpo,Marketing manager,2026-08-06,,,,70420742,3881 LB,,betaalt voor hubspot; eigen reviewplatform; belofte: Binnen 48 uur; geen telefoonlijn gevonden
Tegeltje.nl,tegeltje.nl,vacature,,,,helpscout,,Sales medewerker B2B (24-40 uur),2026-09-18,,,,58276270,2411 PV,085-2129259,woocommerce; betaalt voor helpscout; b2b naast d2c; belofte: binnen 24 uur
waterdrop®,waterdrop.nl,vacature,,163,41,,,Sales Assistant - Hydrista (w/m/d),2026-08-28,,7,0,,7697AC,,Shopify; 41 markten; 163 artikelen; geen telefoonlijn gevonden
Infento,infento.com,vacature,,,6,,trustpilot,❤️✨ Online Marketeer / Growth Hacker for World's Coolest Toy Company! 🛴🚀,2026-04-10,,,,,,+31 20 261 64 50,woocommerce; 6 markten; eigen reviewplatform; belofte: binnen 1 werkdag
Voomy,voomy.com,vacature,,133,,,judgeme|trustedshops,E-commerce manager,2026-07-30,,,,,,+31 85 130 14 59,Shopify; 133 artikelen; eigen reviewplatform; desk dicht voor de avond
PeterPrint,peterprint.nl,vacature,,,2,,feedbackcompany,Tech Lead (lead developer),2026-09-15,9.5,,,,,06 237 54 50,magento; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 2 uur
