bedrijf,domein,functie,datum,eigen_vacature_url,eigen_datum,eigen_titel,citaat,contactpersoon,bevestiging
Cloudpillo,cloudpillo.com,Klantenservice Medewerker - Duits / Engels,2026-09-14,,,,,,site onbereikbaar
BOSKA Food Tools,boska.com,Medewerker klantenservice,2026-09-14,,,,,,site onbereikbaar
Satechi,satechi.com,Order Fulfillment Specialist,2026-08-24,,,,,,site onbereikbaar
STOX Energy Socks,stoxenergy.com,Customer Service Specialist,2026-09-04,,,,,,site onbereikbaar
Paul Roescher,paulroescher.nl,Medewerker Service Desk,2026-08-05,,,,,,site onbereikbaar
Zitmaxx Wonen,zitmaxx.nl,Klantenservice Medewerker,2026-07-09,,,,,,geen vacaturepagina gevonden
Giga Meubel,gigameubel.nl,Klantenservice medewerker 32-40 uur,2026-09-08,https://www.gigameubel.nl/vacatures,,,,,vacature niet teruggevonden op de eigen site
123inkt.nl,123inkt.nl,Klantenservice Medewerker,2026-09-16,https://www.werkenbij123inkt.nl/,,,,,vacature niet teruggevonden op de eigen site
123schoon.nl,123schoon.nl,Klantenservice Medewerker,2026-09-10,https://www.werkenbij123inkt.nl/onze-merken/123schoon?utm_source=123schoon,,,,,vacature niet teruggevonden op de eigen site
DeJong Cheese - Alphenaer,dejongcheese.nl,Medewerker Customer Service met een focus op planning en/of inkoop (40 uur),2026-07-21,https://www.dejongcheese.nl/medewerker-customer-service-40-uur/,,Medewerker Customer Service met een focus op planning en/of inkoop (40 uur),"Je bent per mail en telefoon het aanspreekpunt voor onze klanten, leveranciers en de interne organisatie.",,"bevestigd op de eigen pagina, zonder datum"
Goldbergh,goldbergh.com,Email &amp; CRM Marketeer,2026-08-27,,,,,,site onbereikbaar
Kemkens,kemkens.nl,Klantadviseur,2026-07-02,https://werkenbijkemkens.nl/?_gl=1%2A18jn1vm%2A_gcl_au%2ANjMzNDI5MTc0LjE3MjEyMjgyOTc.,,,,,vacature niet teruggevonden op de eigen site
Zelesta,zelesta.nl,E-commerce Specialist,2026-09-21,,,,,,site onbereikbaar
Chane,shopswellophonic.com,IT Service Desk Medewerker,2026-09-04,,,,,,site onbereikbaar
Ledhandel24.nl,ledhandel24.nl,Klantenservice medewerker (24 uur),2026-08-05,https://www.ledhandel24.nl/werken-bij-ledhandel24-nl/,,,,,vacature niet teruggevonden op de eigen site
Impermo,impermo.nl,Customer Care Professional,2026-09-10,https://impermojobs.be/,,,,,vacature niet teruggevonden op de eigen site
Zero Friction,zerofriction.com,Customer Service and Operations Agent NL &amp; FR,2026-07-23,,,,,,site onbereikbaar
Bouwmaat,bouwmaat.nl,Medewerker Logistiek,2026-07-07,,,,,,site onbereikbaar
Onlineverf.nl,onlineverf.nl,Medewerker klantenservice,2026-09-11,https://www.onlineverf.nl/vacatures/,,,,,vacature niet teruggevonden op de eigen site
Shop4trac,shop4trac.com,Stage Marketing / Content / Social Media,2026-09-01,https://shop4trac.com/vacatures/,,,,,vacature niet teruggevonden op de eigen site
Snowcountry,snowcountry.nl,Logistiek Medewerker - Fulltime in Amersfoort,2026-07-24,https://werkenbij.snowcountry.nl/o/customer-service-team-lead,2026-08-18,Customer Service Team Lead,- Customer Service Team Lead Overslaan naar content Snowcountry B.V.,,bevestigd op de eigen vacaturepagina
CAVALLARO NAPOLI,cavallaronapoli.com,Online Merchandiser,2026-09-08,https://www.werkenbijcavallaronapoli.nl/,,,,,vacature niet teruggevonden op de eigen site
Knivesandtools,knivesandtools.nl,Klantenservice medewerker e-commerce Apeldoorn (32-40 uur),2026-07-17,https://www.knivesandtools.nl/nl/ct/vacatures.htm,,,,,vacature niet teruggevonden op de eigen site
SRS,srs.nl,Retail Support Agent,2025-09-29,https://srs.nl/werken-bij-srs/,,,,,vacature niet teruggevonden op de eigen site
Proforto®,proforto.nl,Logistiek Medewerker bij Proforto,2026-06-23,https://proforto.jobs/o/customer-service-medewerker-bij-proforto-3,2026-09-17,Customer Service Medewerker bij Proforto, Ben jij op zoek naar een nieuwe uitdaging in een dynamische en groeiende organisatie? Wil je deel uitmaken van de marktleider in werkkleding in de Benelux? Bij Proforto zijn we op zoek naar een enthousiaste klantenservice medewerker die onze klanten een glimlach op het gezicht tovert! 🌟 Dit ga je d,,bevestigd via recruitee.com
Cartouche Fashion,cartouchefashion.com,E-commerce &amp; Social Media Specialist Cartouche Fashion,2026-09-09,,,,,,site onbereikbaar
Baktotaal,baktotaal.nl,Online marketeer Duits,2026-09-11,https://www.baktotaal.nl/vacatures,,,,,vacature niet teruggevonden op de eigen site
Dutch Jerky,dutchjerky.com,Customer &amp; Content Guru,2026-09-18,,,,,,geen vacaturepagina gevonden
O My Bag Amsterdam,omybagamsterdam.com,Operations Lead,2026-09-09,,,,,,site onbereikbaar
AVR,avr.nl,Sales Support Medewerker,2026-08-17,https://werkenbijavr.nl/alle-vacatures/,,,,,vacature niet teruggevonden op de eigen site
Hart Beach,hartbeach.nl,Website &amp; Webshop Beheerder,2026-09-19,,,,,,site onbereikbaar
BONO,bono.nl,Media Buyer (META) | Paid Social Specialist,2026-08-31,https://bonohealth.com/careers,,,,,vacature niet teruggevonden op de eigen site
Detailrs,detailrs.nl,E-commerce &amp; UX Lead,2026-08-31,,,,,,site onbereikbaar
Eve Curls,evecurls.nl,COO Fast Growing DTC/CPG Brand,2026-09-21,,,,,,site onbereikbaar
Superyoga,superyoga.nl,Social Media &amp; Performance Marketeer,2026-09-01,https://www.superyoga.nl/service/vacatures/,,,,,vacature niet teruggevonden op de eigen site
ALKU,alku.nl,Verkoopadviseur,2026-09-04,https://alku.nl/werken-bij-alku,,,,,vacature niet teruggevonden op de eigen site
Bedrijfsfitness Nederland,bedrijfsfitness.nl,Customer Support Specialist,2026-09-11,,,,,,geen vacaturepagina gevonden
Royal Van Zanten,royalvanzanten.com,Commercieel Medewerker Customer Service,2026-09-09,https://www.royalvanzanten.com/werkenbij/,,,,,vacature niet teruggevonden op de eigen site
Tegeltje.nl,tegeltje.nl,Sales medewerker B2B (24-40 uur),2026-09-18,https://tegeltje.nl/vacatures/,,,,,vacature niet teruggevonden op de eigen site
Van Dorp,vandorp.nl,Helpdeskmedewerker ICT | Nieuwegein,2026-07-10,,,,,,geen vacaturepagina gevonden
waterdrop®,waterdrop.nl,Sales Assistant - Hydrista (w/m/d),2026-08-28,,,,,,site onbereikbaar
Infento,infento.com,❤️✨ Online Marketeer / Growth Hacker for World's Coolest Toy Company! 🛴🚀,2026-04-10,,,,,,geen vacaturepagina gevonden
Voomy,voomy.com,E-commerce manager,2026-07-30,,,,,,site onbereikbaar
Almotion B.V.,almotion.nl,Medewerker commerciële binnendienst,2026-09-22,https://www.almotion.nl/vacatures/,,,,,vacature niet teruggevonden op de eigen site
Alpina Group,alpina.com,Klantcontact medewerker,2026-09-01,,,,,,geen vacaturepagina gevonden
Amacx Sports Nutrition,amacx.com,AI-Driven Email &amp; Marketplace Specialist,2026-08-21,,,,,,site onbereikbaar
Icetubs,icetubs.com,Webflow &amp; Shopify Developer,2026-07-13,https://icetubs.com/vacancies,,,,,vacature niet teruggevonden op de eigen site
Fine Dining & Living,finediningandliving.eu,Customer Service Medewerker,2026-09-11,,,,,,geen vacaturepagina gevonden
HelloFresh,hellofresh.nl,Junior Content Marketing specialist (f/m/x),2026-09-16,https://careers.hellofresh.com/global/en/benelux,,,,,vacature niet teruggevonden op de eigen site
Hubo,hubo.nl,Campagne &amp; Content Marketeer,2026-07-10,,,,,,site onbereikbaar
INTERSPORT Group,intersport.nl,E-COM Content Activation Manager,2026-09-22,,,,,,site onbereikbaar
ParfumWebshop,parfumwebshop.nl,CRM &amp; Campagne Specialist (26–30 uur),2026-09-01,https://parfumwebshop.nl/catalogsearch/result/?q=werken+bij&amnoroute,,,,,vacature niet teruggevonden op de eigen site
Foxelli Group,foxelli.com,Email Marketing Specialist| DTC E-commerce | 100% Remote EU,2026-07-31,,,,,,site onbereikbaar
Joerns Healthcare bv,joerns.nl,Klantadviseur Zorghulpmiddelen,2026-09-14,,,,,,geen vacaturepagina gevonden
Sanbio B.V.,sanbio.nl,Medewerker Binnendienst,2026-09-10,https://www.sanbio.nl/jobs,,,,,vacature niet teruggevonden op de eigen site
Sunware,sunware.com,Marketplace Specialist (32 - 40 uur),2026-09-14,https://www.sunware.com/nl-nl/werken-bij-sunware,,,,,vacature niet teruggevonden op de eigen site
Itility,itility.nl,Technical Content Specialist,2026-09-16,https://careers.itility.nl,,,,,vacature niet teruggevonden op de eigen site
Vedder & Vedder,vedder-vedder.nl,E-Commerce Merchandiser,2026-09-20,,,,,,site onbereikbaar
Jansen Totaal Wonen,jansentotaalwonen.nl,Orderverwerker keukens,2026-06-02,https://www.jansentotaalwonen.nl/werken-bij/,,,,,vacature niet teruggevonden op de eigen site
Joybuy,joybuy.nl,Category Manager-3C,2026-08-31,,,,,,geen vacaturepagina gevonden
one2track B.V.,one2track.nl,Digital Marketeer Duitsland,2026-09-22,https://www.one2track.nl/one2track/vacatures,,,,,vacature niet teruggevonden op de eigen site
HabitasConnects,habitasconnects.nl,Senior E-commerce &amp; Marketplace Medewerker | 24-32 uur | Oud-Beijerland,2026-09-14,,,,,,geen vacaturepagina gevonden
Inktweb.nl,inktweb.nl,Customer Support,2026-08-07,https://www.inktweb.nl/service/werken-bij/,,,,,vacature niet teruggevonden op de eigen site
Interieurwereld van de Belt,interieurwereld.nl,Verkoopmedewerker diverse afdelingen,2026-09-21,https://interieurwereld.nl/vacatures,,,,,vacature niet teruggevonden op de eigen site
Rotom Nederland B.V.,rotom.nl,Customer Service Medewerker Webshop,2026-04-07,https://rotom.nl/vacatures,,,,,vacature niet teruggevonden op de eigen site
MARC INBANE® Official,marcinbane.com,E-commerce Manager,2026-08-24,https://www.marcinbane.com/vacatures,,,,,vacature niet teruggevonden op de eigen site
Cable Partners B.V.,cablepartners.nl,Ervaren medewerker verkoop binnendienst,2026-08-04,https://www.cablepartners.nl/over-ons/vacatures,,,,,vacature niet teruggevonden op de eigen site
Maiburg,maiburg.nl,Online Performance Marketeer,2026-08-26,https://www.maiburg.nl/maiburg/nl/EUR/vacatures,,,,,vacature niet teruggevonden op de eigen site
