bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal
Abbott,abbott.nl,geraden en bevestigd,Emerging Markets Junior Customer Service Representative,2026-09-15,"Machelen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/emerging-markets-junior-customer-service-representative-at-abbott-4465585006,klantenservice medewerker,ok,,,3,,,,,0,,,,,
Agrifirm,agrifirm.nl,geraden en bevestigd,Customer Service Officer Order Entry,2026-09-14,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-order-entry-at-royal-agrifirm-group-4465227767,klantenservice medewerker,ok,,,,,,,,1,,,,,
Air Products,airproducts.nl,geraden en bevestigd,Customer Service Medewerker,2026-09-09,"Meise, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-air-products-4465012371,klantenservice medewerker,ok,,,,,,,,0,,,,020 435 3535,
Alan,alan.com,geraden en bevestigd,Care Expert - Belgium (NL+EN) 🇧🇪,2026-09-11,België,1,nee,https://be.linkedin.com/jobs/view/care-expert-belgium-nl%2Ben-%F0%9F%87%A7%F0%9F%87%AA-at-alan-4466333384,klantenservice medewerker,ok,,,,intercom,,,,0,,,,,
Allianz Partners,allianzworldwidepartners.com,geraden en bevestigd,Care Advisor - French/German IGO,2026-05-13,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/care-advisor-french-german-igo-at-allianz-partners-4414232687,klantenservice medewerker,ok,,,1,,,,,0,,,,,
Amcor,amcor.com,geraden en bevestigd,Customer Service,2026-08-11,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-at-amcor-4435429758,klantenservice medewerker,ok,,,,hubspot,,,,0,,,,,
Art of People,artofpeople.nl,geraden en bevestigd,Klantenservicemedewerker,2026-09-14,"Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/klantenservicemedewerker-at-art-of-people-4467097356,klantenservice medewerker,ok,,,,,,,,0,,,3011PJ,+31(0)108208504,
Arvesta,arvesta.eu,geraden en bevestigd,Customer Service Officer,2026-09-10,"Wervik, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-arvesta-4464193147,klantenservice medewerker,ok,,,,,,,,0,,,,,
Automatic Systems,automaticsystems.nl,geraden en bevestigd,Customer Service Representative DE/FR/EN,2026-09-17,"Waver, Wallonië, België",3,nee,https://be.linkedin.com/jobs/view/customer-service-representative-de-fr-en-at-automatic-systems-4466279272,klantenservice medewerker,ok,,,,,,,,0,,,,,
Bright Plus,brightplus.com,geraden en bevestigd,Customer Service Medewerker (3 dagen home office),2026-09-14,"Temse, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-3-dagen-home-office-at-bright-plus-4465712711,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,api[- ]documen|veiling,,,,
Brunswick Corporation,brunswick.com,geraden en bevestigd,Customer Service Representative,2026-09-04,"Petit-Rechain, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-brunswick-corporation-4461155085,klantenservice medewerker,ok,,,,,,,,0,,,,,
CRH,crh.com,geraden en bevestigd,Customer Service Representative- Leviat,2026-09-05,"Ternat, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-leviat-at-crh-4376801143,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,,,,,
Culinor Food Group nv,culinor.com,geraden en bevestigd,CUSTOMER SERVICE MEDEWERKER Home Cuisine,2026-08-31,"Destelbergen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-home-cuisine-at-culinor-food-group-nv-4459779600,klantenservice medewerker,ok,,,4,,,,,0,,,,,
deSter,dester.com,geraden en bevestigd,Customer Service Representative,2026-08-24,"Hoogstraten, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-dester-4455885281,klantenservice medewerker,ok,,,,,,,,0,,,,,
ECCO Products,ecco-products.com,geraden en bevestigd,Customer Hero,2026-08-28,"Oost-Vlaanderen, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-hero-at-ecco-products-4458075324,klantenservice medewerker,ok,,,,,,,,0,,,,,
Entra,entra.nl,geraden en bevestigd,Employé service clients,2026-09-08,Charleroi en omgeving,1,nee,https://be.linkedin.com/jobs/view/employ%C3%A9-service-clients-at-entra-4451118711,klantenservice medewerker,ok,,,,chatgpt-bot,,,,1,veiling|onze dienstver,,3704 HD,0885840888,
Eurofins,eurofins.com,geraden en bevestigd,Customer Service,2026-08-14,"De Pinte, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-at-eurofins-4454564104,klantenservice medewerker,ok,,,1,,,,,0,,,,,
Euroports,euroports.com,geraden en bevestigd,Customer Service Executive,2026-09-12,"Kallo, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-executive-at-euroports-4428044046,klantenservice medewerker,ok,,,,,,,,0,,,,,
finc,finc.com,geraden en bevestigd,Customer Service medewerker,2026-09-10,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-finc-4440685861,klantenservice medewerker,ok,,,,,,,,0,,,,,
Fine Dining & Living,finediningandliving.eu,geraden en bevestigd,Customer Service Medewerker,2026-09-11,"Geel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-fine-dining-living-4464847888,klantenservice medewerker,ok,magento,,4,,,ja,ja,0,,,,,
Gebeco,gebeco.com,geraden en bevestigd,Mitarbeiter/in (m/w/d) Gebeco Service - Team / auch als Quereinsteiger/in,2026-07-29,"Kiel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/mitarbeiter-in-m-w-d-gebeco-service-team-auch-als-quereinsteiger-in-at-gebeco-4446038916,klantenservice medewerker,ok,,,,,,,,1,,,,,
Hermès,hermsbv.nl,geraden en bevestigd,"Client Relations Agent (Fluent in Dutch, French and English)",2026-09-05,"Cimetière de Bruxelles, België",5,nee,https://be.linkedin.com/jobs/view/client-relations-agent-fluent-in-dutch-french-and-english-at-herm%C3%A8s-4434640210,klantenservice medewerker,ok,,,,,,,,0,onze dienstver,08130708,8161 PH,0578612291,
Ignite,ignite.nl,geraden en bevestigd,Czech &amp; Polish Speaking Customer Support Representative (Hybrid),2026-09-21,"Gent, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/czech-polish-speaking-customer-support-representative-hybrid-at-ignite-4468477939,klantenservice medewerker,ok,,,,,,,,0,,,,,
Impermo,impermo.nl,geraden en bevestigd,Customer Care Professional,2026-09-10,"Sint-Truiden, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-professional-at-impermo-4465809198,klantenservice medewerker,ok,,,6,,trustpilot,ja,,2,,,,,
Inizio Engage,inizioengage.com,geraden en bevestigd,Customer Service Representative (Hybrid),2026-08-26,"Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-hybrid-at-inizio-engage-4435846179,klantenservice medewerker,ok,,,5,hubspot,,,ja,0,,,,,
Jobloom,jobloom.com,geraden en bevestigd,Customer care,2026-06-26,"Waver, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-at-jobloom-4433818529,klantenservice medewerker,ok,,,,,,,,0,,,,,
Just Russel,justrussel.nl,geraden en bevestigd,Customer support hero FR,2026-08-07,"Deinze, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-hero-fr-at-just-russel-4461723905,klantenservice medewerker,ok,,,6,,trustpilot,,,2,,07354117,,,
KONE,kone.nl,geraden en bevestigd,Customer Service &amp; Admin,2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-admin-at-kone-4421814822,klantenservice medewerker,ok,,,,,,,,0,,,2490 AA,,
KSB Company,ksb.com:443,geraden en bevestigd,Customer Service Representative,2026-05-14,"Waver, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-ksb-company-4411515928,klantenservice medewerker,ok,,,,,,,,0,,,,,
