bedrijf,domein,domein_bron,functie,is_cs,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal
1815,1815.nl,geraden en bevestigd,Back-end developer,,2026-08-05,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/back-end-developer-at-1815-4449453921,medewerker webshop,ok,,,,,,,,0,,,2597LA,,
4CEE,4cee.com,geraden en bevestigd,Applicatie Operations Engineer,,2026-05-15,Ede,1,nee,https://nl.linkedin.com/jobs/view/applicatie-operations-engineer-at-4cee-4382083833,webcare,ok,,,2,hubspot,,,ja,0,,,6716 WD,+31318648746,
ABN AMRO Bank N.V.,abnamro.nl,geraden en bevestigd,Investment Associate - Sustainable Impact Fund (Sustainable Consumption),,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/investment-associate-sustainable-impact-fund-sustainable-consumption-at-abn-amro-bank-n-v-4469823943,retourverwerking,ok,,,,,,,,0,,,,,
ABS Autoherstel,absautoherstel.nl,geraden en bevestigd,Voorbewerker,,2026-06-11,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/voorbewerker-at-abs-autoherstel-bv-4437478436,retourverwerking,ok,,,,,,,,0,,,2411 PV,09006611111,
Accare,accare.nl,geraden en bevestigd,Functioneel beheerder,,2026-09-11,Assen,1,nee,https://nl.linkedin.com/jobs/view/functioneel-beheerder-at-accare-4466070024,webcare,ok,,,,,,,,0,,,,,
Acrisure Netherlands,acrisure.nl,geraden en bevestigd,Accountmanager Agentendesk,,2026-09-19,Rotterdam and The Hague,1,nee,https://nl.linkedin.com/jobs/view/accountmanager-agentendesk-at-acrisure-netherlands-4448431701,klantcontact,ok,,,,hubspot,,,,0,api[- ]documen,35024728,1813 KN,,
Actief Select,actiefselect.com,geraden en bevestigd,Teamleider Customer Service &amp; Administratie,,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/teamleider-customer-service-administratie-at-actief-select-4467708868,klantcontact,ok,woocommerce,,,,,ja,,2,,,3218 TA,,
Actief Zorg,actiefzorg.nl,geraden en bevestigd,Medewerker ICT &amp; Werkplekbeheer,,2026-09-17,Rosmalen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-ict-werkplekbeheer-at-actief-zorg-4466266970,webcare,ok,,,,,,,,0,,,,,
Acture,acture.nl,geraden en bevestigd,Junior Casemanager Verzuim | Groningen,,2026-09-14,Groningen,1,nee,https://nl.linkedin.com/jobs/view/junior-casemanager-verzuim-groningen-at-acture-4438974967,retourverwerking,ok,,,,,,,,0,,,6537 TL,0031248909470,
Addit BV,addit.nl,geraden en bevestigd,Logistics Operator,,2026-09-11,Venlo,1,nee,https://nl.linkedin.com/jobs/view/logistics-operator-at-addit-bv-4466055358,e-fulfilment medewerker,ok,,,4,,,,,0,api[- ]documen,,5928 PP,0031773203400,
AECOM,aecom.com,geraden en bevestigd,(Junior) Adviseur Bodem,,2026-09-03,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/junior-adviseur-bodem-at-aecom-4460061466,retourverwerking,ok,,,,,,,,0,,,,,
Aethon.nl,aethon.nl,geraden en bevestigd,Revenue Operations Specialist,,2026-09-02,Rijswijk,1,nee,https://nl.linkedin.com/jobs/view/revenue-operations-specialist-at-aethon-nl-4460984170,customer journey specialist,ok,,,,hubspot,,,,0,,53584953,2289 CL,0880351500,
AFAS Software,afas.nl,geraden en bevestigd,Product specialist,,2026-06-06,Leusden,1,nee,https://nl.linkedin.com/jobs/view/product-specialist-at-afas-software-4424654104,customer journey specialist,ok,,,,,,,,1,saas|onze dienstver,31046821,3833 AV,+31334341800,
ALDI Nederland,aldi.nl,geraden en bevestigd,Specialist CRM,,2026-09-04,Culemborg,1,nee,https://nl.linkedin.com/jobs/view/specialist-crm-at-aldi-nederland-4450692829,customer journey specialist,ok,,,,,,,ja,1,,,,,
Alfabet,alfabet.be,geraden en bevestigd,First Line Contact &amp; Reception Advisor (Telefonie &amp; Onthaal),,2026-09-18,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/first-line-contact-reception-advisor-telefonie-onthaal-at-alfabet-4469167696,klantenservice medewerker,ok,,,4,,,,,0,,,,,
Alistar,alistar.net,geraden en bevestigd,Microsoft Dynamics 365 CE Consultant,,2026-08-31,Hardinxveld-Giessendam,1,nee,https://nl.linkedin.com/jobs/view/microsoft-dynamics-365-ce-consultant-at-alistar-4460026276,customer journey specialist,ok,,,4,chatgpt-bot,,,ja,0,,,3755 CP,093299306,
Alliance Healthcare,alliancehealthcare.com,geraden en bevestigd,Logistics Employee,,2026-05-27,Veghel,1,nee,https://nl.linkedin.com/jobs/view/logistics-employee-at-alliance-healthcare-4417206043,e-fulfilment medewerker,ok,,,,,,,,0,,,,651-895-8030,
