bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,kvk,postcode,telefoon,reviewaantal
123inkt.nl,123inkt.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-16,Veenendaal,5,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,klantenservice medewerker,ok,,,3,freshdesk,kiyoh,ja,,,1394 PC,,
123schoon.nl,123schoon.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-10,Nederhorst den Berg,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4465393012,klantenservice medewerker,ok,,,,freshdesk,kiyoh,ja,,,1329 AK,,
3Shape,3shape.com,geraden en bevestigd,Customer Success Manager BeNeLux,2026-09-22,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-at-3shape-4470298062,customer happiness,ok,,,,,,,,,,,
4shipping,4shipping.com,geraden en bevestigd,Customer Success Specialist,2026-08-25,Zwijndrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-4shipping-4458745711,customer happiness,ok,,,,,,,,,,,
Abiom,abiom.nl,geraden en bevestigd,Servicedesk Medewerker,2026-09-17,Houten,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-abiom-4468622719,webcare medewerker,ok,,,,,,,,,6604 LD,0031243734422,
AIMMS,aimms.nl,geraden en bevestigd,sr. Customer Success Manager Supply Chain,2026-07-02,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/sr-customer-success-manager-supply-chain-at-aimms-4435569864,customer happiness,ok,,,,,,ja,,,,,
AkzoNobel,akzonobel.com,geraden en bevestigd,Customer Service Representative,2026-09-18,Sassenheim,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-akzonobel-4469125291,klantenservice medewerker,ok,,,,,,,,,,,
All About Work,allaboutwork.com,geraden en bevestigd,Communicatiemedewerker,2026-09-11,Stadskanaal,1,nee,https://nl.linkedin.com/jobs/view/communicatiemedewerker-at-all-about-work-4466099513,webcare medewerker,ok,,,,,,,,,,,
Allegion,allegion.com,geraden en bevestigd,Customer Experience Manager,2026-07-01,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-allegion-4434639725,customer happiness,ok,,,,,,,,,,,
Alphenix Bouwgroep B.V.,alphenixbouwgroep.nl,geraden en bevestigd,Representante de atendimento ao cliente,2026-09-11,Amsterdam,1,nee,,klantenservice medewerker,ok,woocommerce,,,whatsapp,,ja,,,1042AL,,
