score,bedrijf,domein,vertical,signalen,cs_tools,markten,producten,b2b
8,Nialaya,nialaya.com,sieraden,betaalt voor gorgias; 661 artikelen; b2b naast d2c; eigen reviewplatform,gorgias,0,661,ja
8,Poools,poools.nl,fashion-dames,144 markten; 324 artikelen; b2b naast d2c; carrierepagina,,144,324,ja
7,Vingino,vingino.com,kinderkleding,1846 artikelen; b2b naast d2c; eigen reviewplatform; carrierepagina,,3,1846,ja
7,Sissy-Boy,sissy-boy.nl,fashion,betaalt voor zendesk/freshdesk; b2b naast d2c; eigen reviewplatform; carrierepagina,zendesk|freshdesk|whatsapp-widget,0,,ja
7,Patta,patta.nl,fashion-streetwear,29 markten; 773 artikelen; eigen reviewplatform; carrierepagina,,29,773,
7,Loavies BE,loavies.be,fashion-dames,betaalt voor zendesk; b2b naast d2c; eigen reviewplatform; carrierepagina,zendesk,4,,ja
7,Shoesme,shoesme.nl,kinderschoenen,betaalt voor zendesk; b2b naast d2c; eigen reviewplatform; carrierepagina,zendesk,3,,ja
6,Vanilia,vanilia.com,fashion-dames,57 markten; b2b naast d2c; eigen reviewplatform,,57,1,ja
6,King Louie,kinglouie.nl,fashion-dames,923 artikelen; b2b naast d2c; eigen reviewplatform; carrierepagina,,4,923,ja
6,Moscow Fashion,moscowfashion.nl,fashion-dames,betaalt voor trengo; b2b naast d2c; eigen reviewplatform,trengo,3,,ja
6,Nathalie Vleeschouwer,nathalievleeschouwer.be,fashion-dames-be,9 markten; 880 artikelen; b2b naast d2c,,9,880,ja
6,Ballin Amsterdam,ballinamsterdam.com,fashion-streetwear,betaalt voor gorgias; b2b naast d2c; eigen reviewplatform,gorgias,2,171,ja
6,Walra,walra.nl,home-textiel,360 artikelen; b2b naast d2c; eigen reviewplatform; carrierepagina,whatsapp-widget,0,360,ja
6,Tramontana,tramontana.nl,fashion-dames,betaalt voor zendesk; b2b naast d2c; carrierepagina,zendesk,0,,ja
6,Trixie Baby,trixie-baby.com,baby-be,785 artikelen; b2b naast d2c; eigen reviewplatform; carrierepagina,crisp,5,785,ja
5,Nubikk,nubikk.com,schoenen,betaalt voor trengo; eigen reviewplatform; carrierepagina,trengo,5,,
5,Isabel Bernard,isabelbernard.com,sieraden,10 markten; b2b naast d2c; eigen reviewplatform,,10,264,ja
5,RainPharma,rainpharma.com,beauty-be,32 markten; b2b naast d2c,,32,250,ja
5,Retour Jeans,retourjeans.com,kinderkleding,6 markten; b2b naast d2c; carrierepagina,,6,,ja
