bedrijf,domein,domein_bron,functie,is_cs,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
123inkt.nl,123inkt.nl,geraden en bevestigd,Klantenservice Medewerker,ja,2026-09-16,Veenendaal,11,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,klantenservice medewerker
123schoon.nl,123schoon.nl,geraden en bevestigd,Klantenservice Medewerker,ja,2026-09-22,Almere,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4470437712,e-commerce medewerker
3Shape,3shape.com,geraden en bevestigd,Customer Success Manager BeNeLux,ja,2026-09-22,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-at-3shape-4470298062,customer happiness
4shipping,4shipping.com,geraden en bevestigd,Customer Success Specialist,ja,2026-08-25,Zwijndrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-4shipping-4458745711,customer happiness
Aarnink Vleeswaren,aarninkvleeswaren.nl,geraden en bevestigd,COMMERCIEEL MEDEWERKER BINNENDIENST (LOCHEM),,2026-08-05,Lochem,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-lochem-at-aarnink-vleeswaren-4448900769,orderverwerking medewerker
Abbott,abbott.nl,geraden en bevestigd,Emerging Markets Junior Customer Service Representative,ja,2026-09-15,"Machelen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/emerging-markets-junior-customer-service-representative-at-abbott-4465585006,klantenservice medewerker
ABD,abd.nl,geraden en bevestigd,Verkoopadviseur,,2026-08-11,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-at-abd-renault-nissan-dacia-4452447964,klantadviseur
ABENA,abena.nl,geraden en bevestigd,Order Entry &amp; Sales Support Medewerker,ja,2026-09-03,Haps,1,nee,https://nl.linkedin.com/jobs/view/order-entry-sales-support-medewerker-at-abena-4462837755,orderverwerking medewerker
Abiom,abiom.nl,geraden en bevestigd,Servicedesk Medewerker,ja,2026-09-17,Houten,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-abiom-4468622719,webcare medewerker
Ace & Tate,acetate.com,geraden en bevestigd,E-Commerce Intern,,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-intern-at-ace-tate-4469857309,webshop beheerder
Adwise - Your Digital Brain,adwise.nl,geraden en bevestigd,Merchandising &amp; Search Specialist,,2026-08-28,Enschede,6,nee,https://nl.linkedin.com/jobs/view/merchandising-search-specialist-at-adwise-your-digital-brain-4470443044,e-commerce medewerker
AEO DIRECT,aeodirect.com,geraden en bevestigd,Content &amp; AEO Specialist,,2026-08-04,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/content-aeo-specialist-at-aeo-direct-4448559070,content specialist webshop
AEP International B.V.,aep.com,geraden en bevestigd,Commercieel Medewerker Binnendienst,,2026-09-10,Alblasserdam,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-aep-international-b-v-4463481660,orderverwerking medewerker
Agrifirm,agrifirm.nl,geraden en bevestigd,Customer Service Officer Order Entry,,2026-09-14,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-order-entry-at-royal-agrifirm-group-4465227767,klantenservice medewerker
AIMMS,aimms.nl,geraden en bevestigd,sr. Customer Success Manager Supply Chain,ja,2026-07-02,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/sr-customer-success-manager-supply-chain-at-aimms-4435569864,customer happiness
Air Products,airproducts.nl,geraden en bevestigd,Customer Service Medewerker,ja,2026-09-09,"Meise, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-air-products-4465012371,klantenservice medewerker
AkzoNobel,akzonobel.com,geraden en bevestigd,Customer Service Representative,ja,2026-09-18,Sassenheim,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-akzonobel-4469125291,klantenservice medewerker
Alan,alan.com,geraden en bevestigd,Care Expert - Belgium (NL+EN) 🇧🇪,,2026-09-11,België,1,nee,https://be.linkedin.com/jobs/view/care-expert-belgium-nl%2Ben-%F0%9F%87%A7%F0%9F%87%AA-at-alan-4466333384,klantenservice medewerker
ALKU,alku.nl,geraden en bevestigd,Verkoopadviseur,,2026-09-04,Tilburg,2,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-at-alku-4461984846,klantadviseur
All About Work,allaboutwork.com,geraden en bevestigd,Communicatiemedewerker,,2026-09-11,Stadskanaal,1,nee,https://nl.linkedin.com/jobs/view/communicatiemedewerker-at-all-about-work-4466099513,webcare medewerker
Allegion,allegion.com,geraden en bevestigd,Customer Experience Manager,ja,2026-07-01,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-allegion-4434639725,customer happiness
Allianz Direct,allianzdirect.nl,geraden en bevestigd,Client Success Medewerker,,2025-06-02,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/client-success-medewerker-at-allianz-direct-4242804934,klantadviseur
Allianz Partners,allianzworldwidepartners.com,geraden en bevestigd,Care Advisor - French/German IGO,ja,2026-05-13,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/care-advisor-french-german-igo-at-allianz-partners-4414232687,klantenservice medewerker
Alloga,alloga.com,geraden en bevestigd,Employee customer service X 5,,2026-05-27,Veghel,1,nee,https://nl.linkedin.com/jobs/view/employee-customer-service-x-5-at-alloga-4417214824,orderverwerking medewerker
Almotion B.V.,almotion.nl,geraden en bevestigd,Medewerker commerciële binnendienst,,2026-09-22,Elst,1,nee,https://nl.linkedin.com/jobs/view/medewerker-commerci%C3%ABle-binnendienst-at-almotion-b-v-4470287628,orderverwerking medewerker
Alphenix Bouwgroep B.V.,alphenixbouwgroep.nl,geraden en bevestigd,Representante de atendimento ao cliente,,2026-09-11,Amsterdam,1,nee,,klantenservice medewerker
Alpina Group,alpina.com,geraden en bevestigd,Klantcontact medewerker,ja,2026-09-01,Arnhem,2,nee,https://nl.linkedin.com/jobs/view/klantcontact-medewerker-at-alpina-group-4460258610,klantenservice medewerker
Amacx Sports Nutrition,amacx.com,geraden en bevestigd,AI-Driven Email &amp; Marketplace Specialist,,2026-08-21,Noordwijk-Binnen,1,nee,https://nl.linkedin.com/jobs/view/ai-driven-email-marketplace-specialist-at-amacx-sports-nutrition-4457346846,e-commerce medewerker
Amcor,amcor.com,geraden en bevestigd,Customer Service,,2026-08-11,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-at-amcor-4435429758,klantenservice medewerker
Amdax,amdax.com,geraden en bevestigd,Customer Success Coordinator,ja,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-at-amdax-4465011695,customer happiness
Amega,amega.nl,geraden en bevestigd,Service &amp; support medewerker Inbound,ja,2026-09-21,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/service-support-medewerker-inbound-at-amega-4468720965,klantenservice medewerker
America Today,americatoday.com,geraden en bevestigd,E-Commerce stagiaire,,2026-05-16,Diemen,1,ja,https://nl.linkedin.com/jobs/view/e-commerce-stagiaire-at-america-today-4427022033,webshop beheerder
