bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs,reviewscore,reviewschaal,reviewaantal_eigen,reviewbron,reviewplatform,review_url,reviewoordeel
Baktotaal,baktotaal.nl,geraden en bevestigd,Online marketeer Duits,2026-09-11,Goor,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-duits-at-baktotaal-4466072603,online marketeer webshop,ok,magento,,8,,feedbackcompany,ja,ja,3,veiling,54072905,7472 DD,0548-623016 (,,,,,,geen score gevonden,feedbackcompany,,
BONO,bono.nl,geraden en bevestigd,Media Buyer (META) | Paid Social Specialist,2026-08-31,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/media-buyer-meta-paid-social-specialist-at-bono-4461051671,online marketeer webshop,ok,shopify,,,intercom,trustedshops,ja,,4,api[- ]documen,74636391,1511MA,,,,4.86582,5,18505,schema.org,trustedshops,https://bono.nl,sterk
Bouwmaat,bouwmaat.nl,geraden en bevestigd,Medewerker Logistiek,2026-07-07,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/medewerker-logistiek-at-bouwmaat-4436581659,logistiek medewerker webshop,ok,shopify,250,6,,trustpilot,ja,ja,3,,,3600 VB,,,,,,,geen score gevonden,trustpilot,,
Broekhuis,broekhuis.nl,geraden en bevestigd,Online Marketeer,2026-07-15,Putten,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-broekhuis-groep-4439267068,online marketeer webshop,ok,,,,whatsapp,,ja,,0,onze dienstver,,,+31341751187,,,4.5,5,,zichtbaar op de pagina,,https://broekhuis.nl,sterk
Detailrs,detailrs.nl,geraden en bevestigd,E-commerce &amp; UX Lead,2026-08-31,Oss,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-ux-lead-at-detailrs-4434440735,online marketeer webshop,ok,shopify,87,3,,trustpilot|judgeme,ja,,2,,,,,,,4.8,5,4486,zichtbaar op de pagina,trustpilot|judgeme,https://www.detailrs.nl,sterk
Dutch Jerky,dutchjerky.com,geraden en bevestigd,Customer &amp; Content Guru,2026-09-18,Mierlo,1,nee,https://nl.linkedin.com/jobs/view/customer-content-guru-at-dutch-jerky-4467862824,content specialist webshop,ok,woocommerce,,,klaviyo-chat,trustpilot,ja,,3,,94108722,6981 DL,,,,9.6,10,2702,schema.org,trustpilot,https://dutchjerky.com,sterk
Eve Curls,evecurls.nl,geraden en bevestigd,COO Fast Growing DTC/CPG Brand,2026-09-21,Nederland,1,nee,https://nl.linkedin.com/jobs/view/coo-fast-growing-dtc-cpg-brand-at-eve-curls-4469911975,webshop beheerder,ok,shopify,15,33,,trustpilot,ja,,2,,,,,,,,,,geen score gevonden,trustpilot,,
FLÂNEUR,flneur.com,geraden en bevestigd,Operations Lead,2026-07-06,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/operations-lead-at-fl%C3%A2neur-4437472534,webshop beheerder,ok,shopify,,,,,ja,,0,,,,,,,,,,geen score gevonden,,,
Foot Locker,footlocker.nl,geraden en bevestigd,"Associate Manager, Copy",2026-09-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/associate-manager-copy-at-foot-locker-4466689697,content specialist webshop,ok,,,,,,ja,,4,,,,,,,,,,geen score gevonden,,,
HelloFresh,hellofresh.nl,geraden en bevestigd,Junior Content Marketing specialist (f/m/x),2026-09-16,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/junior-content-marketing-specialist-f-m-x-at-hellofresh-4468251961,content specialist webshop,ok,,,,hubspot,trustpilot,ja,,2,api[- ]documen,54601312,1114 AE,,,,,,,geen score gevonden,trustpilot,,
Hubo,hubo.nl,geraden en bevestigd,Campagne &amp; Content Marketeer,2026-07-10,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/campagne-content-marketeer-at-hubo-4438329167,online marketeer webshop,ok,shopify,1000,,whatsapp,,ja,,2,api[- ]documen,,,,,,,,,geen score gevonden,google,,
Infento,infento.com,geraden en bevestigd,❤️✨ Online Marketeer / Growth Hacker for World's Coolest Toy Company! 🛴🚀,2026-04-10,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/%E2%9D%A4%EF%B8%8F%E2%9C%A8-online-marketeer-growth-hacker-for-world-s-coolest-toy-company%21-%F0%9F%9B%B4%F0%9F%9A%80-at-infento-4399005602,online marketeer webshop,ok,woocommerce,,6,,trustpilot,ja,,3,,,,,,,,,,geen score gevonden,trustpilot,,
INTERSPORT Group,intersport.nl,geraden en bevestigd,E-COM Content Activation Manager,2026-09-22,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/e-com-content-activation-manager-at-intersport-group-4463863265,content specialist webshop,ok,shopify,1000,,,,ja,,2,,,,,,,,,,geen score gevonden,,,
