bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,reviewscore,reviewschaal,reviewaantal_eigen,reviewbron,reviewplatform,review_url,reviewoordeel
123inkt.nl,123inkt.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-16,Veenendaal,8,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,klantenservice medewerker,ok,,,3,freshdesk,kiyoh,ja,,2,,,1394 PC,,,9.3,10,4862,schema.org,kiyoh,https://www.123inkt.nl,sterk
123schoon.nl,123schoon.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-10,Nederhorst den Berg,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4465393012,klantenservice medewerker,ok,,,,freshdesk,kiyoh,ja,,2,,,1329 AK,,,9.1,10,1439,zichtbaar op de pagina,kiyoh,https://www.123schoon.nl,sterk
ABENA,abena.nl,geraden en bevestigd,Order Entry &amp; Sales Support Medewerker,2026-09-03,Haps,1,nee,https://nl.linkedin.com/jobs/view/order-entry-sales-support-medewerker-at-abena-4462837755,orderverwerking medewerker,ok,woocommerce,,,,trustpilot,ja,,2,,12025762,5443 PW,0485581150,1.822,4.6,5,3182,schema.org,trustpilot,https://www.abena.nl,sterk
ALKU,alku.nl,geraden en bevestigd,Verkoopadviseur,2026-09-04,Tilburg,2,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-at-alku-4461984846,klantadviseur,ok,woocommerce,,,hubspot,kiyoh|klantenvertellen,ja,ja,0,,,5048 AN,0135434519,,8.8,10,537,schema.org,kiyoh|klantenvertellen,https://alku.nl,sterk
Almotion B.V.,almotion.nl,geraden en bevestigd,Medewerker commerciële binnendienst,2026-09-22,Elst,1,nee,https://nl.linkedin.com/jobs/view/medewerker-commerci%C3%ABle-binnendienst-at-almotion-b-v-4470287628,orderverwerking medewerker,ok,woocommerce,,,whatsapp|chatgpt-bot,,ja,,1,veiling,09114908,6662 NG,0850491777,,,,,geen score gevonden,,,
Alpina Group,alpina.com,geraden en bevestigd,Adviseur binnendienst agrarisch,2026-09-06,Hoogeveen,2,nee,https://nl.linkedin.com/jobs/view/adviseur-binnendienst-agrarisch-at-alpina-group-4426608510,klantadviseur,ok,magento,,,whatsapp,,ja,,0,,,,,,,,,geen score gevonden,,,
Amacx Sports Nutrition,amacx.com,geraden en bevestigd,AI-Driven Email &amp; Marketplace Specialist,2026-08-21,Noordwijk-Binnen,1,nee,https://nl.linkedin.com/jobs/view/ai-driven-email-marketplace-specialist-at-amacx-sports-nutrition-4457346846,e-commerce medewerker,ok,shopify,96,,,judgeme,ja,,0,,,2201 CW,+31717370031,,,,,geen score gevonden,judgeme,,
AVR,avr.nl,geraden en bevestigd,Sales Support Medewerker,2026-08-17,Rozenburg,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-avr-4466064506,orderverwerking medewerker,ok,woocommerce,,,,,ja,,0,,,,,,,,,geen score gevonden,,,
BAIYILED EUROPE B.V.,baiyiled.nl,geraden en bevestigd,Technisch Commercieel Medewerker Binnendienst &amp; Operations.,2026-08-21,Almere,1,nee,https://nl.linkedin.com/jobs/view/technisch-commercieel-medewerker-binnendienst-operations-at-baiyiled-europe-b-v-4457078701,orderverwerking medewerker,ok,woocommerce,,3,,,ja,,2,,52628914,1322AH,,,,,,geen score gevonden,,,
Bedrijfsfitness Nederland,bedrijfsfitness.nl,geraden en bevestigd,Customer Support Specialist,2026-09-11,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-bedrijfsfitness-nederland-by-epassi-4457324263,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,api[- ]documen,27125012,7938 TD,,,,,,geen score gevonden,,,
BOSKA Food Tools,boska.com,geraden en bevestigd,Medewerker klantenservice,2026-09-14,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-boska-food-tools-4467034939,e-commerce medewerker,ok,shopify,379,5,,judgeme,ja,,1,,,,,,,,,geen score gevonden,judgeme,,
Cabau Lifestyle,cabaulifestyle.com,geraden en bevestigd,CRO Specialist,2026-08-21,Arnhem,1,ja,https://nl.linkedin.com/jobs/view/cro-specialist-at-cabau-lifestyle-4457305819,webcare medewerker,ok,shopify,102,6,gorgias,trustpilot|loox|yotpo,ja,,2,api[- ]documen,,6842 CT,,,4.8,5,,zichtbaar op de pagina,trustpilot|loox|yotpo,https://cabaulifestyle.com/nl,sterk
Cable Partners B.V.,cablepartners.nl,geraden en bevestigd,Ervaren medewerker verkoop binnendienst,2026-08-04,Roosendaal,1,nee,https://nl.linkedin.com/jobs/view/ervaren-medewerker-verkoop-binnendienst-at-cable-partners-b-v-4448300405,orderverwerking medewerker,ok,magento,,,,,ja,ja,0,,24255726,4704 SV,+31165523000,,,,,geen score gevonden,,,
Cartouche Fashion,cartouchefashion.com,geraden en bevestigd,E-commerce &amp; Social Media Specialist Cartouche Fashion,2026-09-09,Bodegraven,1,nee,,e-commerce medewerker,ok,shopify,300,8,,,ja,,3,,,,,,,,,geen score gevonden,,,
CAVALLARO NAPOLI,cavallaronapoli.com,geraden en bevestigd,Online Merchandiser,2026-09-08,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/online-merchandiser-at-cavallaro-napoli-4452705820,e-commerce medewerker,ok,magento,,5,intercom|whatsapp,trustedshops,ja,,4,,,1071 BM,+31233030369,,,,,geen score gevonden,trustedshops,,
Chane,shopswellophonic.com,geraden en bevestigd,IT Service Desk Medewerker,2026-09-04,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/it-service-desk-medewerker-at-chane-4429332633,webcare medewerker,ok,shopify,995,,,,ja,,0,,,,,,,,,geen score gevonden,,,
Cloudpillo,cloudpillo.com,geraden en bevestigd,Klantenservice Medewerker - Duits / Engels,2026-09-14,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duits-engels-at-cloudpillo-4446056309,klantenservice medewerker,ok,shopify,19,12,gorgias,trustpilot|trustedshops,ja,,2,,,5232 BX,,,4.5,5,34000,zichtbaar op de pagina,trustpilot|trustedshops,https://cloudpillo.com/nl-nl,sterk
Commaxx Group,commaxxgroup.com,geraden en bevestigd,ONLINE MARKETEER (WEBSHOP SPECIALIST) - COMMAXX KERKRADE,2026-08-05,Kerkrade,3,nee,https://nl.linkedin.com/jobs/view/online-marketeer-webshop-specialist-commaxx-kerkrade-at-commaxx-group-4449483048,webcare medewerker,ok,shopify,,4,,,ja,,1,,,6466 NG,,,,,,geen score gevonden,,,
DeJong Cheese - Alphenaer,dejongcheese.nl,geraden en bevestigd,E-commerce Medewerker (24 uur),2026-07-28,Alphen,2,nee,https://nl.linkedin.com/jobs/view/e-commerce-medewerker-24-uur-at-dejong-cheese-alphenaer-4446156538,webcare medewerker,ok,woocommerce,,4,hubspot,,ja,ja,0,,18049181,5131 RC,,,,,,geen score gevonden,,,
Digital Newsgroup (DNG),digitalnewsgroup.com,geraden en bevestigd,Linkbuildingspecialist,2026-08-26,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/linkbuildingspecialist-at-digital-newsgroup-bv-4459177785,webcare medewerker,ok,,,,hubspot|chatgpt-bot,,ja,,0,,81262906,5026 RH,+3113-7370151,,,,,geen score gevonden,,,
