bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
123inkt.nl,123inkt.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-16,Veenendaal,8,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,klantenservice medewerker
123schoon.nl,123schoon.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-10,Nederhorst den Berg,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4465393012,klantenservice medewerker
3Shape,3shape.com,geraden en bevestigd,Customer Success Manager BeNeLux,2026-09-22,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-at-3shape-4470298062,customer happiness
4shipping,4shipping.com,geraden en bevestigd,Customer Success Specialist,2026-08-25,Zwijndrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-4shipping-4458745711,customer happiness
Aarnink Vleeswaren,aarninkvleeswaren.nl,geraden en bevestigd,COMMERCIEEL MEDEWERKER BINNENDIENST (LOCHEM),2026-08-05,Lochem,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-lochem-at-aarnink-vleeswaren-4448900769,orderverwerking medewerker
ABD,abd.nl,geraden en bevestigd,Verkoopadviseur,2026-08-11,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-at-abd-renault-nissan-dacia-4452447964,klantadviseur
ABENA,abena.nl,geraden en bevestigd,Order Entry &amp; Sales Support Medewerker,2026-09-03,Haps,1,nee,https://nl.linkedin.com/jobs/view/order-entry-sales-support-medewerker-at-abena-4462837755,orderverwerking medewerker
Abiom,abiom.nl,geraden en bevestigd,Servicedesk Medewerker,2026-09-17,Houten,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-abiom-4468622719,webcare medewerker
AEP International B.V.,aep.com,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-09-10,Alblasserdam,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-aep-international-b-v-4463481660,orderverwerking medewerker
AIMMS,aimms.nl,geraden en bevestigd,sr. Customer Success Manager Supply Chain,2026-07-02,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/sr-customer-success-manager-supply-chain-at-aimms-4435569864,customer happiness
AkzoNobel,akzonobel.com,geraden en bevestigd,Customer Service Representative,2026-09-18,Sassenheim,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-akzonobel-4469125291,klantenservice medewerker
ALKU,alku.nl,geraden en bevestigd,Verkoopadviseur,2026-09-04,Tilburg,2,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-at-alku-4461984846,klantadviseur
All About Work,allaboutwork.com,geraden en bevestigd,Communicatiemedewerker,2026-09-11,Stadskanaal,1,nee,https://nl.linkedin.com/jobs/view/communicatiemedewerker-at-all-about-work-4466099513,webcare medewerker
Allegion,allegion.com,geraden en bevestigd,Customer Experience Manager,2026-07-01,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-allegion-4434639725,customer happiness
Allianz Direct,allianzdirect.nl,geraden en bevestigd,Client Success Medewerker,2025-06-02,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/client-success-medewerker-at-allianz-direct-4242804934,klantadviseur
Alloga,alloga.com,geraden en bevestigd,Employee customer service X 5,2026-05-27,Veghel,1,nee,https://nl.linkedin.com/jobs/view/employee-customer-service-x-5-at-alloga-4417214824,orderverwerking medewerker
Almotion B.V.,almotion.nl,geraden en bevestigd,Medewerker commerciële binnendienst,2026-09-22,Elst,1,nee,https://nl.linkedin.com/jobs/view/medewerker-commerci%C3%ABle-binnendienst-at-almotion-b-v-4470287628,orderverwerking medewerker
Alphenix Bouwgroep B.V.,alphenixbouwgroep.nl,geraden en bevestigd,Representante de atendimento ao cliente,2026-09-11,Amsterdam,1,nee,,klantenservice medewerker
Alpina Group,alpina.com,geraden en bevestigd,Adviseur binnendienst agrarisch,2026-09-06,Hoogeveen,2,nee,https://nl.linkedin.com/jobs/view/adviseur-binnendienst-agrarisch-at-alpina-group-4426608510,klantadviseur
Amacx Sports Nutrition,amacx.com,geraden en bevestigd,AI-Driven Email &amp; Marketplace Specialist,2026-08-21,Noordwijk-Binnen,1,nee,https://nl.linkedin.com/jobs/view/ai-driven-email-marketplace-specialist-at-amacx-sports-nutrition-4457346846,e-commerce medewerker
Amdax,amdax.com,geraden en bevestigd,Customer Success Coordinator,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-at-amdax-4465011695,customer happiness
Amega,amega.nl,geraden en bevestigd,Service &amp; support medewerker Inbound,2026-09-21,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/service-support-medewerker-inbound-at-amega-4468720965,klantenservice medewerker
American Express,americanexpress.com,geraden en bevestigd,American Express - Centurion Lounge Ambassador,2026-09-08,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/american-express-centurion-lounge-ambassador-at-american-express-4463531151,customer happiness
Ames Autobedrijf,ames.nl,geraden en bevestigd,Medewerker Sales Support - Ames,2026-09-21,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-sales-support-ames-at-ames-autobedrijf-4468727578,orderverwerking medewerker
Anteryon B.V.,anteryon.com,geraden en bevestigd,Inside Sales Specialist,2026-09-16,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-specialist-at-anteryon-b-v-4454182530,orderverwerking medewerker
Aon,aon.com,geraden en bevestigd,Junior Website Specialist,2026-09-19,Rotterdam,3,nee,https://nl.linkedin.com/jobs/view/junior-website-specialist-at-aon-4458595737,webcare medewerker
Applied Medical,appliedmedical.com,geraden en bevestigd,Associate Customer Relations Representative - Italian and German speaking,2026-09-08,Amersfoort,2,nee,https://nl.linkedin.com/jobs/view/associate-customer-relations-representative-italian-and-german-speaking-at-applied-medical-4462526342,customer service
Ardagh Group,ardagh.com,geraden en bevestigd,Supply &amp; Demand Employee,2026-06-22,Oss,1,nee,https://nl.linkedin.com/jobs/view/supply-demand-employee-at-ardagh-group-4422369204,orderverwerking medewerker
Arie Bouman Green Outdoor B.V.,ariebouman.nl,geraden en bevestigd,Backoffice Medewerker Inkoop,2026-09-08,Wijk en Aalburg,1,nee,https://nl.linkedin.com/jobs/view/backoffice-medewerker-inkoop-at-arie-bouman-green-outdoor-b-v-4464492064,orderverwerking medewerker
ARP Nederland B.V.,arp.nl,geraden en bevestigd,Sales Support Medewerker,2026-09-22,Maastricht,2,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-arp-nederland-b-v-4468589525,orderverwerking medewerker
ASAPCLOUD,asapcloud.com,geraden en bevestigd,Customer Success Manager,2026-09-21,Houten,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-asapcloud-4467603330,customer happiness
Ascom,ascom.com,geraden en bevestigd,First Line Support Engineer,2026-08-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/first-line-support-engineer-at-ascom-4454455600,webcare medewerker
Asendia,asendiabenelux.com,geraden en bevestigd,Customer Success Manager,2026-08-25,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-asendia-4457491307,customer happiness
Athlon Nederland,athlon.com:443,geraden en bevestigd,Klantadviseur,2026-09-16,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/klantadviseur-at-athlon-nederland-4456467591,klantadviseur
Atlassian,atlassian.com,geraden en bevestigd,"Principal Customer Success Manager, Strategic DACH",2026-09-22,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/principal-customer-success-manager-strategic-dach-at-atlassian-4451509548,customer happiness
Atos Medical,atosmedical.nl,geraden en bevestigd,Consumer Care Specialist,2026-09-19,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/consumer-care-specialist-at-atos-medical-4440770846,customer happiness
Audax Nederland,audax.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-08,Almere,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-audax-netherlands-4440551063,klantenservice medewerker
Autodistribution Nederland,autodistribution.nl,geraden en bevestigd,Customer Support Medewerker,2026-08-31,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-autodistribution-nederland-4450612001,klantenservice medewerker
Autoflex Automotive Software,autoflex.nl,geraden en bevestigd,Medewerker Klantenservice &amp; Support,2026-09-14,Putten,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-support-at-autoflex-4467070838,klantenservice medewerker
Avenir Collective,avenircollective.com,geraden en bevestigd,Account Manager (Bol.com),2026-09-15,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/account-manager-bol-com-at-avenir-collective-4465599184,e-commerce medewerker
AVR,avr.nl,geraden en bevestigd,Sales Support Medewerker,2026-08-17,Rozenburg,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-avr-4466064506,orderverwerking medewerker
Axians NL,axians.nl,geraden en bevestigd,Customer Care Specialist,2026-09-10,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-axians-nl-4456487800,klantenservice medewerker
AxionContinu,axioncontinu.nl,geraden en bevestigd,Medewerker ICT-Servicedesk,2026-08-25,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-ict-servicedesk-at-axioncontinu-4466945841,webcare medewerker
Axivate Horeca Group,axivatehoreca.nl,geraden en bevestigd,Medewerker Bediening (Nieuw concept),2026-09-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-nieuw-concept-at-axivate-horeca-group-4469115573,webcare medewerker
Ayvens,ayvens.com:443,geraden en bevestigd,Accountmanager Binnendienst,2026-09-11,Rotterdam,5,nee,https://nl.linkedin.com/jobs/view/accountmanager-binnendienst-at-ayvens-4463022522,klantadviseur
BAIYILED EUROPE B.V.,baiyiled.nl,geraden en bevestigd,Technisch Commercieel Medewerker Binnendienst &amp; Operations.,2026-08-21,Almere,1,nee,https://nl.linkedin.com/jobs/view/technisch-commercieel-medewerker-binnendienst-operations-at-baiyiled-europe-b-v-4457078701,orderverwerking medewerker
BAM Nederland,bam.com,geraden en bevestigd,Klantadviseur,2026-09-11,Bunnik,1,nee,,klantadviseur
Bauder Nederland,bauder.nl,geraden en bevestigd,Medewerker Verkoop Binnendienst / Sales Coördinator,2026-09-22,Houten,1,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoop-binnendienst-sales-co%C3%B6rdinator-at-bauder-nederland-4470282621,orderverwerking medewerker
Bax Music,bax-shop.com,geraden en bevestigd,Marketplace-marketeer,2026-08-28,Goes,4,nee,https://nl.linkedin.com/jobs/view/marketplace-marketeer-at-bax-music-4458091991,e-commerce medewerker
Bear Optima Wood B.V.,bearoptimawood.nl,geraden en bevestigd,Commercieel medewerker binnendienst,2026-08-28,Nijverdal,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-bear-optima-wood-b-v-4460325998,orderverwerking medewerker
Bechtle NV,bechtle.com,geraden en bevestigd,Sales Support Medewerker,2026-09-15,Nederland,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-bechtle-nv-4465538475,orderverwerking medewerker
Bedrijfsfitness Nederland,bedrijfsfitness.nl,geraden en bevestigd,Customer Support Specialist,2026-09-11,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-bedrijfsfitness-nederland-by-epassi-4457324263,klantenservice medewerker
Bejo,bejo.nl,geraden en bevestigd,Sales Support Employee,2026-09-17,Schagen,1,nee,https://nl.linkedin.com/jobs/view/sales-support-employee-at-bejo-4466958651,orderverwerking medewerker
Belsimpel,belsimpel.nl,geraden en bevestigd,Commercieel Data Analist voor Gomibo.de,2026-09-02,Groningen,1,nee,https://nl.linkedin.com/jobs/view/commercieel-data-analist-voor-gomibo-de-at-gomibo-l-belsimpel-4442750204,e-commerce medewerker
Bergman Clinics,bergmanclinics.nl,geraden en bevestigd,CSA Medewerker,2026-09-07,Capelle aan den IJssel,1,nee,https://nl.linkedin.com/jobs/view/csa-medewerker-at-bergman-clinics-4464325862,webcare medewerker
Beter Horen,beterhoren.nl,geraden en bevestigd,Verkoopadviseur bij Beter Horen Rotterdam,2026-09-09,Rotterdam,4,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-bij-beter-horen-rotterdam-at-beter-horen-4465019621,klantadviseur
Bever,bever.nl,geraden en bevestigd,E-commerce Specialist Germany,2026-09-15,Pijnacker,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-germany-at-bever-4466505111,e-commerce medewerker
Big Bazar,bigbazar.com,geraden en bevestigd,Vulploegmedewerker in Eindhoven,2026-08-25,Eindhoven,18,nee,https://nl.linkedin.com/jobs/view/vulploegmedewerker-in-eindhoven-at-big-bazar-4456967386,support medewerker webshop
Billink,billink.nl,geraden en bevestigd,Customer Success Manager,2026-08-18,Gouda,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-billink-4455757456,customer happiness
Biscuit International Netherlands,jeurgens.nl,geraden en bevestigd,Customer Service Medewerker,2026-09-09,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-biscuit-international-netherlands-4449830753,orderverwerking medewerker
Bizzdesign,bizzdesign.com,geraden en bevestigd,Senior Customer Success Manager,2026-09-09,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/senior-customer-success-manager-at-bizzdesign-4463808925,customer happiness
Bloom & Wild,bloomwild.com,geraden en bevestigd,Customer Delight Talent Pool,2026-09-13,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-delight-talent-pool-at-bloom-wild-4466735976,klantenservice medewerker
Bloom & Wolf,bloomwolf.nl,geraden en bevestigd,🌸 VACATURE: House-of-Rituals medewerker bij Bloom &amp; Wolf,2026-07-06,Randstad,1,nee,https://nl.linkedin.com/jobs/view/%F0%9F%8C%B8-vacature-house-of-rituals-medewerker-bij-bloom-wolf-at-bloom-wolf-4437410088,webshop medewerker
bloomon,bloomon.nl,geraden en bevestigd,Customer Support Senior Associate (Dutch or German Speaking),2026-09-15,Amsterdam Area,1,ja,https://nl.linkedin.com/jobs/view/customer-support-senior-associate-dutch-or-german-speaking-at-bloomon-4467727735,klantenservice medewerker
Booking Boosters,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-16,Enschede,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-boosters-4468318072,customer happiness
Booking Experts,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-17,Enschede,4,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-experts-b-v-4467141096,customer happiness
BOSKA Food Tools,boska.com,geraden en bevestigd,Medewerker klantenservice,2026-09-14,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-boska-food-tools-4467034939,e-commerce medewerker
