bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Abbott,abbott.nl,geraden en bevestigd,Emerging Markets Junior Customer Service Representative,2026-09-15,"Machelen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/emerging-markets-junior-customer-service-representative-at-abbott-4465585006,klantenservice medewerker
Agrifirm,agrifirm.nl,geraden en bevestigd,Customer Service Officer Order Entry,2026-09-14,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-order-entry-at-royal-agrifirm-group-4465227767,klantenservice medewerker
Air Products,airproducts.nl,geraden en bevestigd,Customer Service Medewerker,2026-09-09,"Meise, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-air-products-4465012371,klantenservice medewerker
Alan,alan.com,geraden en bevestigd,Care Expert - Belgium (NL+EN) 🇧🇪,2026-09-11,België,1,nee,https://be.linkedin.com/jobs/view/care-expert-belgium-nl%2Ben-%F0%9F%87%A7%F0%9F%87%AA-at-alan-4466333384,klantenservice medewerker
Allianz Partners,allianzworldwidepartners.com,geraden en bevestigd,Care Advisor - French/German IGO,2026-05-13,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/care-advisor-french-german-igo-at-allianz-partners-4414232687,klantenservice medewerker
Amcor,amcor.com,geraden en bevestigd,Customer Service,2026-08-11,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-at-amcor-4435429758,klantenservice medewerker
Art of People,artofpeople.nl,geraden en bevestigd,Klantenservicemedewerker,2026-09-14,"Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/klantenservicemedewerker-at-art-of-people-4467097356,klantenservice medewerker
Arvesta,arvesta.eu,geraden en bevestigd,Customer Service Officer,2026-09-10,"Wervik, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-arvesta-4464193147,klantenservice medewerker
Automatic Systems,automaticsystems.nl,geraden en bevestigd,Customer Service Representative DE/FR/EN,2026-09-17,"Waver, Wallonië, België",3,nee,https://be.linkedin.com/jobs/view/customer-service-representative-de-fr-en-at-automatic-systems-4466279272,klantenservice medewerker
Bright Plus,brightplus.com,geraden en bevestigd,Customer Service Medewerker (3 dagen home office),2026-09-14,"Temse, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-3-dagen-home-office-at-bright-plus-4465712711,klantenservice medewerker
Brunswick Corporation,brunswick.com,geraden en bevestigd,Customer Service Representative,2026-09-04,"Petit-Rechain, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-brunswick-corporation-4461155085,klantenservice medewerker
CRH,crh.com,geraden en bevestigd,Customer Service Representative- Leviat,2026-09-05,"Ternat, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-leviat-at-crh-4376801143,klantenservice medewerker
Culinor Food Group nv,culinor.com,geraden en bevestigd,CUSTOMER SERVICE MEDEWERKER Home Cuisine,2026-08-31,"Destelbergen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-home-cuisine-at-culinor-food-group-nv-4459779600,klantenservice medewerker
