bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
123inkt.nl,123inkt.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-16,Veenendaal,5,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,klantenservice medewerker
123schoon.nl,123schoon.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-10,Nederhorst den Berg,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4465393012,klantenservice medewerker
3Shape,3shape.com,geraden en bevestigd,Customer Success Manager BeNeLux,2026-09-22,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-at-3shape-4470298062,customer happiness
4shipping,4shipping.com,geraden en bevestigd,Customer Success Specialist,2026-08-25,Zwijndrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-4shipping-4458745711,customer happiness
Abiom,abiom.nl,geraden en bevestigd,Servicedesk Medewerker,2026-09-17,Houten,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-abiom-4468622719,webcare medewerker
AIMMS,aimms.nl,geraden en bevestigd,sr. Customer Success Manager Supply Chain,2026-07-02,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/sr-customer-success-manager-supply-chain-at-aimms-4435569864,customer happiness
AkzoNobel,akzonobel.com,geraden en bevestigd,Customer Service Representative,2026-09-18,Sassenheim,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-akzonobel-4469125291,klantenservice medewerker
All About Work,allaboutwork.com,geraden en bevestigd,Communicatiemedewerker,2026-09-11,Stadskanaal,1,nee,https://nl.linkedin.com/jobs/view/communicatiemedewerker-at-all-about-work-4466099513,webcare medewerker
Allegion,allegion.com,geraden en bevestigd,Customer Experience Manager,2026-07-01,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-allegion-4434639725,customer happiness
Alphenix Bouwgroep B.V.,alphenixbouwgroep.nl,geraden en bevestigd,Representante de atendimento ao cliente,2026-09-11,Amsterdam,1,nee,,klantenservice medewerker
Alpina Group,alpina.com,geraden en bevestigd,Klantcontact medewerker,2026-09-01,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/klantcontact-medewerker-at-alpina-group-4460258610,klantenservice medewerker
Amdax,amdax.com,geraden en bevestigd,Customer Success Coordinator,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-at-amdax-4465011695,customer happiness
Amega,amega.nl,geraden en bevestigd,Service &amp; support medewerker Inbound,2026-09-21,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/service-support-medewerker-inbound-at-amega-4468720965,klantenservice medewerker
American Express,americanexpress.com,geraden en bevestigd,American Express - Centurion Lounge Ambassador,2026-09-08,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/american-express-centurion-lounge-ambassador-at-american-express-4463531151,customer happiness
Aon,aon.com,geraden en bevestigd,Junior Website Specialist,2026-09-19,Rotterdam,2,nee,https://nl.linkedin.com/jobs/view/junior-website-specialist-at-aon-4458595737,webcare medewerker
