bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
123inkt.nl,Data Entry Medewerker,Nederhorst den Berg,2026-09-01,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/data-entry-medewerker-at-123inkt-nl-4451882106,https://nl.linkedin.com/company/123inkt-nl,4451882106
123inkt.nl,Klantenservice Medewerker,Utrecht,2026-09-02,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4462410113,https://nl.linkedin.com/company/123inkt-nl,4462410113
123inkt.nl,Klantenservice Medewerker,Almere,2026-09-08,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4455362398,https://nl.linkedin.com/company/123inkt-nl,4455362398
123inkt.nl,Klantenservice Medewerker,Nederhorst den Berg,2026-09-09,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4465067107,https://nl.linkedin.com/company/123inkt-nl,4465067107
123inkt.nl,Klantenservice Medewerker,Veenendaal,2026-09-16,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,https://nl.linkedin.com/company/123inkt-nl,4459198463
123schoon.nl,Klantenservice Medewerker,Nederhorst den Berg,2026-09-10,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4465393012,https://nl.linkedin.com/company/123schoon.nl,4465393012
3Shape,Customer Success Manager,Amsterdam,2026-03-19,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-3shape-4387735038,https://dk.linkedin.com/company/3shape,4387735038
3Shape,Customer Success Manager BeNeLux,Amsterdam,2026-09-22,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-at-3shape-4470298062,https://dk.linkedin.com/company/3shape,4470298062
4shipping,Customer Success Specialist,Zwijndrecht,2026-08-25,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-4shipping-4458745711,https://nl.linkedin.com/company/4shipping-com,4458745711
A.P. Moller - Maersk,Service Delivery Manager,Rotterdam,2026-09-10,customer happiness,nee,https://nl.linkedin.com/jobs/view/service-delivery-manager-at-a-p-moller-maersk-4465629892,https://dk.linkedin.com/company/maersk-group,4465629892
A.P. Moller - Maersk,Service Delivery Manager,Almere,2026-09-10,customer happiness,nee,https://nl.linkedin.com/jobs/view/service-delivery-manager-at-a-p-moller-maersk-4465627826,https://dk.linkedin.com/company/maersk-group,4465627826
a.s.r. verzekeringen,Klantenservice Medewerker Pensioenen,Utrecht,2026-09-16,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-pensioenen-at-a-s-r-4468215511,https://nl.linkedin.com/company/asrverzekeringen,4468215511
a.s.r. verzekeringen,Klantsupport Medewerker,Utrecht,2026-09-16,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/klantsupport-medewerker-at-a-s-r-4468229369,https://nl.linkedin.com/company/asrverzekeringen,4468229369
Aareon NL,Klantencoach,Oosterhout,2026-08-31,customer happiness,nee,https://nl.linkedin.com/jobs/view/klantencoach-at-aareon-nl-4461233108,https://nl.linkedin.com/company/aareon-nl,4461233108
Abiom,Servicedesk Medewerker,Houten,2026-09-17,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-abiom-4468622719,https://nl.linkedin.com/company/abiom,4468622719
