bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Abbott,Emerging Markets Junior Customer Service Representative,"Machelen, Vlaanderen, België",2026-09-15,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/emerging-markets-junior-customer-service-representative-at-abbott-4465585006,https://www.linkedin.com/company/abbott-,4465585006
Agrifirm,Customer Service Officer Order Entry,"Gent, Vlaanderen, België",2026-09-14,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-officer-order-entry-at-royal-agrifirm-group-4465227767,https://nl.linkedin.com/company/royal-agrifirm-group,4465227767
Air Products,Customer Service Medewerker,"Meise, Vlaanderen, België",2026-09-09,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-air-products-4465012371,https://www.linkedin.com/company/air-products,4465012371
Alan,Care Expert - Belgium (NL+EN) 🇧🇪,België,2026-09-11,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/care-expert-belgium-nl%2Ben-%F0%9F%87%A7%F0%9F%87%AA-at-alan-4466333384,https://fr.linkedin.com/company/avec-alan,4466333384
Alfabet,First Line Contact &amp; Reception Advisor (Telefonie &amp; Onthaal),"Gent, Vlaanderen, België",2026-09-18,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/first-line-contact-reception-advisor-telefonie-onthaal-at-alfabet-4469167696,https://be.linkedin.com/company/alfabetgroup,4469167696
Allianz Partners,Care Advisor - French/German IGO,"Brussel, Brussels Hoofdstedelijk Gewest, België",2026-05-13,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/care-advisor-french-german-igo-at-allianz-partners-4414232687,https://fr.linkedin.com/company/allianz-partners,4414232687
Amcor,Customer Service,"Gent, Vlaanderen, België",2026-08-11,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-at-amcor-4435429758,https://ch.linkedin.com/company/amcor,4435429758
Argenta,Customer Care Expert Bankieren (dagshift),"Antwerpen, Vlaanderen, België",2026-09-03,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-expert-bankieren-dagshift-at-argenta-4432397277,https://be.linkedin.com/company/argenta,4432397277
Argenta,Customer Care Expert Bankieren (late shift),"Antwerpen, Vlaanderen, België",2026-09-05,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-expert-bankieren-late-shift-at-argenta-4433705044,https://be.linkedin.com/company/argenta,4433705044
Argenta,Customer Care Expert Digitaal (zaterdagshift),"Antwerpen, Vlaanderen, België",2026-09-09,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-expert-digitaal-zaterdagshift-at-argenta-4453450638,https://be.linkedin.com/company/argenta,4453450638
Argenta,Customer Care Expert Beleggen (dagshift),"Antwerpen, Vlaanderen, België",2026-09-15,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-expert-beleggen-dagshift-at-argenta-4465538943,https://be.linkedin.com/company/argenta,4465538943
Art of People,Klantenservicemedewerker,"Vlaanderen, België",2026-09-14,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantenservicemedewerker-at-art-of-people-4467097356,https://be.linkedin.com/company/artofpeople-be,4467097356
