bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal
123inkt.nl,123inkt.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-16,Veenendaal,8,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,klantenservice medewerker,ok,,,3,freshdesk,kiyoh,ja,,2,,,1394 PC,,
123schoon.nl,123schoon.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-10,Nederhorst den Berg,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4465393012,klantenservice medewerker,ok,,,,freshdesk,kiyoh,ja,,2,,,1329 AK,,
ABENA,abena.nl,geraden en bevestigd,Order Entry &amp; Sales Support Medewerker,2026-09-03,Haps,1,nee,https://nl.linkedin.com/jobs/view/order-entry-sales-support-medewerker-at-abena-4462837755,orderverwerking medewerker,ok,woocommerce,,,,trustpilot,ja,,2,,12025762,5443 PW,0485581150,1.822
ALKU,alku.nl,geraden en bevestigd,Verkoopadviseur,2026-09-04,Tilburg,2,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-at-alku-4461984846,klantadviseur,ok,woocommerce,,,hubspot,kiyoh|klantenvertellen,ja,ja,0,,,5048 AN,0135434519,
Almotion B.V.,almotion.nl,geraden en bevestigd,Medewerker commerciële binnendienst,2026-09-22,Elst,1,nee,https://nl.linkedin.com/jobs/view/medewerker-commerci%C3%ABle-binnendienst-at-almotion-b-v-4470287628,orderverwerking medewerker,ok,woocommerce,,,whatsapp|chatgpt-bot,,ja,,1,veiling,09114908,6662 NG,0850491777,
Alpina Group,alpina.com,geraden en bevestigd,Adviseur binnendienst agrarisch,2026-09-06,Hoogeveen,2,nee,https://nl.linkedin.com/jobs/view/adviseur-binnendienst-agrarisch-at-alpina-group-4426608510,klantadviseur,ok,magento,,,whatsapp,,ja,,0,,,,,
Amacx Sports Nutrition,amacx.com,geraden en bevestigd,AI-Driven Email &amp; Marketplace Specialist,2026-08-21,Noordwijk-Binnen,1,nee,https://nl.linkedin.com/jobs/view/ai-driven-email-marketplace-specialist-at-amacx-sports-nutrition-4457346846,e-commerce medewerker,ok,shopify,96,,,judgeme,ja,,0,,,2201 CW,+31717370031,
AVR,avr.nl,geraden en bevestigd,Sales Support Medewerker,2026-08-17,Rozenburg,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-avr-4466064506,orderverwerking medewerker,ok,woocommerce,,,,,ja,,0,,,,,
BAIYILED EUROPE B.V.,baiyiled.nl,geraden en bevestigd,Technisch Commercieel Medewerker Binnendienst &amp; Operations.,2026-08-21,Almere,1,nee,https://nl.linkedin.com/jobs/view/technisch-commercieel-medewerker-binnendienst-operations-at-baiyiled-europe-b-v-4457078701,orderverwerking medewerker,ok,woocommerce,,3,,,ja,,2,,52628914,1322AH,,
Bedrijfsfitness Nederland,bedrijfsfitness.nl,geraden en bevestigd,Customer Support Specialist,2026-09-11,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-bedrijfsfitness-nederland-by-epassi-4457324263,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,api[- ]documen,27125012,7938 TD,,
BOSKA Food Tools,boska.com,geraden en bevestigd,Medewerker klantenservice,2026-09-14,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-boska-food-tools-4467034939,e-commerce medewerker,ok,shopify,379,5,,judgeme,ja,,1,,,,,
Cabau Lifestyle,cabaulifestyle.com,geraden en bevestigd,CRO Specialist,2026-08-21,Arnhem,1,ja,https://nl.linkedin.com/jobs/view/cro-specialist-at-cabau-lifestyle-4457305819,webcare medewerker,ok,shopify,102,6,gorgias,trustpilot|loox|yotpo,ja,,2,api[- ]documen,,6842 CT,,
Cable Partners B.V.,cablepartners.nl,geraden en bevestigd,Ervaren medewerker verkoop binnendienst,2026-08-04,Roosendaal,1,nee,https://nl.linkedin.com/jobs/view/ervaren-medewerker-verkoop-binnendienst-at-cable-partners-b-v-4448300405,orderverwerking medewerker,ok,magento,,,,,ja,ja,0,,24255726,4704 SV,+31165523000,
Cartouche Fashion,cartouchefashion.com,geraden en bevestigd,E-commerce &amp; Social Media Specialist Cartouche Fashion,2026-09-09,Bodegraven,1,nee,,e-commerce medewerker,ok,shopify,300,8,,,ja,,3,,,,,
CAVALLARO NAPOLI,cavallaronapoli.com,geraden en bevestigd,Online Merchandiser,2026-09-08,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/online-merchandiser-at-cavallaro-napoli-4452705820,e-commerce medewerker,ok,magento,,5,intercom|whatsapp,trustedshops,ja,,4,,,1071 BM,+31233030369,
Chane,shopswellophonic.com,geraden en bevestigd,IT Service Desk Medewerker,2026-09-04,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/it-service-desk-medewerker-at-chane-4429332633,webcare medewerker,ok,shopify,995,,,,ja,,0,,,,,
Cloudpillo,cloudpillo.com,geraden en bevestigd,Klantenservice Medewerker - Duits / Engels,2026-09-14,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duits-engels-at-cloudpillo-4446056309,klantenservice medewerker,ok,shopify,19,12,gorgias,trustpilot|trustedshops,ja,,2,,,5232 BX,,
Commaxx Group,commaxxgroup.com,geraden en bevestigd,ONLINE MARKETEER (WEBSHOP SPECIALIST) - COMMAXX KERKRADE,2026-08-05,Kerkrade,3,nee,https://nl.linkedin.com/jobs/view/online-marketeer-webshop-specialist-commaxx-kerkrade-at-commaxx-group-4449483048,webcare medewerker,ok,shopify,,4,,,ja,,1,,,6466 NG,,
DeJong Cheese - Alphenaer,dejongcheese.nl,geraden en bevestigd,E-commerce Medewerker (24 uur),2026-07-28,Alphen,2,nee,https://nl.linkedin.com/jobs/view/e-commerce-medewerker-24-uur-at-dejong-cheese-alphenaer-4446156538,webcare medewerker,ok,woocommerce,,4,hubspot,,ja,ja,0,,18049181,5131 RC,,
Digital Newsgroup (DNG),digitalnewsgroup.com,geraden en bevestigd,Linkbuildingspecialist,2026-08-26,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/linkbuildingspecialist-at-digital-newsgroup-bv-4459177785,webcare medewerker,ok,,,,hubspot|chatgpt-bot,,ja,,0,,81262906,5026 RH,+3113-7370151,
DogSuppy,dogsuppy.com,geraden en bevestigd,Growth Associate,2026-08-21,Amsterdam,1,ja,https://nl.linkedin.com/jobs/view/growth-associate-at-dogsuppy-4457343940,e-commerce medewerker,ok,shopify,55,3,gorgias,trustpilot,ja,,4,,,,,
DYKA Group,dyka.nl,geraden en bevestigd,Baliemedewerker / Magazijnmedewerker | DYKA Eindhoven,2026-05-22,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/baliemedewerker-magazijnmedewerker-dyka-eindhoven-at-dyka-group-4414311547,orderverwerking medewerker,ok,magento,,,,,ja,,3,,,8331 LJ,0521 53 49 11,
Elektramat B.V.,elektramat.nl,geraden en bevestigd,Merchandiser &amp; Search specialist,2026-03-28,Enschede en omgeving,2,nee,https://nl.linkedin.com/jobs/view/merchandiser-search-specialist-at-elektramat-b-v-4392006945,e-commerce medewerker,ok,magento,,2,intercom,feedbackcompany,ja,ja,0,,,2000 SI,,
Elektrototaalmarkt,elektrototaalmarkt.nl,geraden en bevestigd,Klantenservicemedewerker,2026-09-09,Nistelrode,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-elektrototaalmarkt-nl-4464498258,support medewerker webshop,ok,magento,,1,intercom,,ja,,2,onze dienstver,66558212,5388RT,0412-615552,
Euro Pizza Products,europizzaproducts.com,geraden en bevestigd,Business Support Medewerker,2026-09-03,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/business-support-medewerker-at-euro-pizza-products-4462780476,support medewerker webshop,ok,woocommerce,,6,hubspot,,ja,ja,0,,,1185 ZR,,
Foxelli Group,foxelli.com,geraden en bevestigd,Email Marketing Specialist| DTC E-commerce | 100% Remote EU,2026-07-31,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/email-marketing-specialist-dtc-e-commerce-100%25-remote-eu-at-foxelli-group-4447525692,e-commerce medewerker,ok,shopify,61,,,loox,ja,,0,,,,,
Fresh 'n Rebel,freshnrebel.com,geraden en bevestigd,Medewerker Commercial Backoffice Rotterdam HQ 32h-40h,2026-08-05,Rotterdam,1,ja,https://nl.linkedin.com/jobs/view/medewerker-commercial-backoffice%0Arotterdam-hq%0A32h-40h-at-fresh-n-rebel-4447308836,orderverwerking medewerker,ok,,,12,zendesk,trustpilot,ja,,0,,,,,
Fresh People,freshpeople.nl,geraden en bevestigd,online merchandiser,2026-08-31,Zaandam,1,nee,https://nl.linkedin.com/jobs/view/online-merchandiser-at-fresh-people-4461205780,e-commerce medewerker,ok,woocommerce,,,,,ja,,0,,,1054 LH,+31202101827,
Giga Meubel,gigameubel.nl,geraden en bevestigd,Klantenservice medewerker 32-40 uur,2026-09-08,Barneveld,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-32-40-uur-at-giga-meubel-4462523800,klantenservice medewerker,ok,magento,,,whatsapp,kiyoh,ja,,3,,,3824 MJ,0358796032,2612
Goldbergh,goldbergh.com,geraden en bevestigd,Email &amp; CRM Marketeer,2026-08-27,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/email-crm-marketeer-at-goldbergh-4459803918,e-commerce medewerker,ok,shopify,249,13,gorgias,trustpilot,ja,ja,0,,,,+31 (0) 20 8513851,
HabitasConnects,habitasconnects.nl,geraden en bevestigd,Senior E-commerce &amp; Marketplace Medewerker | 24-32 uur | Oud-Beijerland,2026-09-14,Oud-Beijerland,1,nee,https://nl.linkedin.com/jobs/view/senior-e-commerce-marketplace-medewerker-24-32-uur-oud-beijerland-at-habitasconnects-4465220223,e-commerce medewerker,ok,,,,,kiyoh,ja,,1,,,3261LT,0104265331,
Hart Beach,hartbeach.nl,geraden en bevestigd,Website &amp; Webshop Beheerder,2026-09-19,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/website-webshop-beheerder-at-hart-beach-4469525581,webcare medewerker,ok,shopify,249,4,zendesk,kiyoh,ja,,4,,,2583 DL,31 (0) 70 350 259,
Icetubs,icetubs.com,geraden en bevestigd,Webflow &amp; Shopify Developer,2026-07-13,Amsterdam-West,1,nee,https://nl.linkedin.com/jobs/view/webflow-shopify-developer-at-icetubs-4440044522,webcare medewerker,ok,,,1,hubspot|whatsapp,trustpilot,ja,,0,api[- ]documen,,,+31(0)332003091,
Inktweb.nl,inktweb.nl,geraden en bevestigd,Customer Support,2026-08-07,Alkmaar,5,nee,https://nl.linkedin.com/jobs/view/customer-support-at-inktweb-nl-4450703072,klantenservice medewerker,ok,,,3,,feedbackcompany,ja,,2,,,1821 BT,+31725675055,
Interieurwereld van de Belt,interieurwereld.nl,geraden en bevestigd,Verkoopmedewerker diverse afdelingen,2026-09-21,Meppel,1,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-diverse-afdelingen-at-interieurwereld-van-de-belt-4468770119,webshop medewerker,ok,magento,,,whatsapp,feedbackcompany,ja,,2,,04032571,7949AR,(0522) 44 13 46,
InVue,invue.com,geraden en bevestigd,Customer Support Specialist - German Speaking,2026-09-04,Hoofddorp,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-german-speaking-at-invue-4453255708,customer service,ok,woocommerce,,9,hubspot,,ja,,0,api[- ]documen,,,1-888-55-,
Jansen Totaal Wonen,jansentotaalwonen.nl,geraden en bevestigd,Orderverwerker keukens,2026-06-02,Huissen,1,nee,https://nl.linkedin.com/jobs/view/orderverwerker-keukens-at-jansen-totaal-wonen-b-v-4422362748,orderverwerking medewerker,ok,,,,whatsapp,feedbackcompany,ja,,2,veiling,09046110,6851 DG,0263269900,
Joerns Healthcare bv,joerns.nl,geraden en bevestigd,Klantadviseur Zorghulpmiddelen,2026-09-14,Houten,3,nee,https://nl.linkedin.com/jobs/view/klantadviseur-zorghulpmiddelen-at-joerns-healthcare-bv-4467060921,klantadviseur,ok,woocommerce,,,,,ja,,1,,34263175,3991 CT,,
